Location,Category,Business Name,Phone Number,Website URL,Rating,Review Count
Nashik Road,cafe,Love At Every Bite Cafe And Cakes,0253 403 2654,,4.7,485.0
Nashik Road,cafe,Cafe black spoon,099236 76609,,4.4,28.0
Nashik Road,cafe,Cafe Sanjeevani,098607 25155,,4.6,163.0
Nashik Road,cafe,Pool Side Cafe,,,3.9,16.0
Nashik Road,cafe,"Pokket cafe, Ashoka marg, Nashik",096736 97656,,4.4,923.0
Nashik Road,cafe,Chai Tapri,097661 88377,,4.1,605.0
Nashik Road,cafe,Chai Ki Patri | Cafe,093167 57370,,4.8,82.0
Nashik Road,cafe,CHAI KETALI (Ashoka Marg),098909 78676,,4.0,670.0
Nashik Road,cafe,South Indian Filter Coffee Nashik,090964 25590,,4.8,68.0
Nashik Road,cafe,Cafe Bliss,084849 52735,,4.1,1196.0
Nashik Road,cafe,CAKE FACTORY,097661 78747,,4.6,144.0
Nashik Road,cafe,# Tag Cafe,,,5.0,2.0
Nashik Road,cafe,Cafe Jab we met,080800 07419,,4.6,33.0
Nashik Road,cafe,Modern Cafe Nashik,0253 618 0814,,4.2,3624.0
Nashik Road,cafe,Meena cafe,,,4.7,3.0
Nashik Road,cafe,The Cafe Nation,093592 13638,,5.0,3.0
Nashik Road,cafe,Rambhau Chulivarchi Misal,097627 26403,,4.2,621.0
Nashik Road,cafe,Aatmatirth Cafe,0253 245 7162,,3.9,12.0
Nashik Road,cafe,Yogeshwar Food and Beverages (Yoo!),098503 33406,,4.8,13.0
Nashik Road,cafe,COFFEE CLUB NX,094212 90675,,4.3,917.0
Nashik Road,cafe,Cafe Junction,083083 45698,,4.6,173.0
Nashik Road,cafe,Skylight Cafe Nashik Road,0788 745 6262,,4.0,7.0
Nashik Road,cafe,Cafe Nirvana,079725 94925,,4.3,359.0
Nashik Road,cafe,Good Karma Restaurant,0253 294 7500,,4.3,244.0
Nashik Road,cafe,Oye Balle Balle,0253 241 2921,,3.9,369.0
Nashik Road,cafe,Bharkadevi Ice-Cream Cafe,086053 56508,,4.1,69.0
Nashik Road,cafe,The Caves Family Restaurant & Bar,,,3.9,499.0
Nashik Road,cafe,BLACKBIRD CAFE,077209 09956,,4.0,3.0
Nashik Road,cafe,Sindhi Kitchen,094051 51803,,4.6,22.0
Nashik Road,cafe,ISHWAR FOODS,085303 73506,,4.8,106.0
Nashik Road,cafe,Shree Purohit Thali®,0253 246 3407,,4.2,2923.0
Nashik Road,cafe,"Chai Ketali, College Road, Nashik",098909 78676,,4.0,1388.0
Nashik Road,cafe,M&M Cafe,084595 07305,,5.0,6.0
Nashik Road,cafe,De' Hot Kettle,086008 65569,,5.0,24.0
Nashik Road,cafe,Le Cafetino,,,3.5,43.0
Nashik Road,cafe,Hotel Durga © | हॉटेल दुर्गा © | Fast Food Pure Veg Restaurant | Best Cafe in Nashik,096652 08277,,4.5,2346.0
Nashik Road,cafe,The D Cafe,098811 00747,,4.1,124.0
Nashik Road,cafe,ACE CYBER CAFE,098505 24314,,4.6,5.0
Nashik Road,cafe,Shree Krishna Chaat: The Street Food Cafe,075885 58792,,3.5,21.0
Nashik Road,cafe,Hotel Mazda & Cafe - Best Cafe in Nashik| Family Restaurant in Nashik| Multicusion Restaurant in Nashik,085303 92333,,4.3,541.0
Nashik Road,cafe,"Hungry Eyes Restaurant,",094799 08487,,4.9,28.0
Nashik Road,cafe,New Rasoi Restaurant Nashik,098810 79090,,4.1,1609.0
Nashik Road,cafe,YUVRAJ CYBER CAFE,,,4.4,35.0
Nashik Road,cafe,Punjabi Tadka Parcel Point,070200 67529,,3.8,112.0
Nashik Road,cafe,CyberCity Online Solutions,073873 34070,,4.8,41.0
Nashik Road,cafe,The Cafe Katta®,097300 22113,,4.2,393.0
Nashik Road,cafe,Nashik Chicken Shawarma,099755 53330,,4.9,336.0
Nashik Road,cafe,street food,,,5.0,4.0
Nashik Road,cafe,Miraki Nashik Road,,,3.5,2.0
