Location,Category,Business Name,Phone Number,Website URL,Rating,Review Count
Nashik,vineyard,Sula Vineyards,,,4.3,
Nashik,vineyard,York Winery & Tasting Room,,,4.2,
Nashik,vineyard,Grape Berry Vineyards,,,4.5,
Nashik,vineyard,Soma Vine Village,,,4.2,
Nashik,vineyard,Vallonne Vineyards Pvt Ltd,,,4.4,
Nashik,vineyard,Chandon India Winery,,,4.5,
Nashik,vineyard,Backwater Sula Wine Yards,,,4.5,
Nashik,vineyard,Sula Vineyards Point,,,4.4,
Nashik,vineyard,Renaissance Winery Private Ltd,,,4.1,
Nashik,vineyard,Sula Vineyards Dindory Winery unit ll,,,4.5,
Nashik,vineyard,The Source at Sula,,,4.4,
Nashik,vineyard,Google Maps can't reach the internet,,,,
Nashik,vineyard,Soma Vineyard Resort-7BHK Villas,,,4.2,
Nashik,vineyard,Vinsura winery-Factory outlet,,,4.6,
Nashik,vineyard,Nanda Gardens Vineyard,,,4.6,
Nashik,vineyard,J B Wineyard and Agro Tourism,,,5.0,
Nashik,vineyard,Nashik Wine Tours & Wine Accessories Suppliers,,,4.5,
Nashik,vineyard,The Bourbon Estate,,,4.8,
Nashik,vineyard,Kamaltara Enterprises,,,4.7,
Nashik,vineyard,Amanta Resort,,,4.4,
Nashik,vineyard,Prisha Farms,,,5.0,
Nashik,vineyard,Republic of Karting - Nashik,,,4.5,
Nashik,vineyard,Nimse Grapes Farm,,,4.5,
Nashik,vineyard,Casagris Villa Near Sula Nashik,,,4.5,
Nashik,winery,Sanika Farms,,,4.8,
Nashik,winery,Resvera Lounge,,,4.3,
Nashik,winery,Somanda Winery,,,4.0,
Nashik,winery,S.B. Mistry & Sons,,,4.6,
Nashik,winery,SEVEN PEAKS WINERY PVT LTD,,,5.0,
Nashik,winery,Tasting Room,,,4.2,
Nashik,winery,YoYo wines,,,3.9,
Nashik,winery,Rakesh Wine's,,,3.8,
Nashik,winery,AWLI Vineyards,,,4.7,
Nashik,winery,Nipha Winery,,,4.1,
Nashik,agro tourism resort,Green Land Agro Tourism,,,4.1,
Nashik,agro tourism resort,Chanakya Agro Farm & Tourism,,,4.8,
Nashik,agro tourism resort,Narayani Agro tourism,,,4.9,
Nashik,agro tourism resort,"Grape County Eco Resort & Spa, Nashik",,,4.4,
Nashik,agro tourism resort,Outing Agro Tourism,,,4.9,
Nashik,agro tourism resort,Utopia Farmstay,,,4.8,
Nashik,agro tourism resort,Arunoday Agro Tourism,,,4.0,
Nashik,agro tourism resort,Silver Oak House Agro Tourisum,,,3.9,
Nashik,agro tourism resort,Kapildhara Agro Tourism Resort,,,4.3,
Nashik,agro tourism resort,Grape Park Resort-MTDC,,,4.4,
Nashik,agro tourism resort,SwapnKiran Farm & Agrotourisam,,,4.9,
Nashik,agro tourism resort,Basil Farm Stay,,,4.6,
Nashik,agro tourism resort,Unnati Farm,,,4.8,
Nashik,agro tourism resort,Isola Luxury Farm Suites,,,4.7,
Nashik,agro tourism resort,Prakriti Agro Farm Resort,,,4.6,
Nashik,agro tourism resort,Tatya cha mala agro farm & tourism resort,,,4.8,
Nashik,agro tourism resort,The Outing Resort,,,4.9,
Nashik,agro tourism resort,Twin mountain farm Resort,,,4.6,
Nashik,agro tourism resort,Kaustubh AGRO FARM,,,4.8,
Nashik,agro tourism resort,Touchwood Bliss Nature Retreat - Igatpuri,,,4.8,
Nashik,agro tourism resort,Raghunandan Resort,,,4.1,
Nashik,agro tourism resort,Gumfa Farm House,,,4.3,
Nashik,agro tourism resort,Savana Lake Resort,,,4.2,
Nashik,agro tourism resort,Aria Resort & Spa,,,4.4,
Nashik,agro tourism resort,Bimal Farm Home Stay,,,4.5,
Nashik,agro tourism resort,Seeyona Yacht Resort,,,3.8,
Nashik,farmhouse stay,Aapla Gaon Farm House,,,4.7,
Nashik,farmhouse stay,Shakuntala Farms,,,4.8,
Nashik,farmhouse stay,The Parekh Farm,,,4.6,
Nashik,farmhouse stay,"Porje Farm House,पोरजे फार्म हाऊस",,,4.6,
Nashik,farmhouse stay,"Root Farms, Nashik",,,4.8,
Nashik,farmhouse stay,Yana Farms | Boutique Villa,,,4.8,
Nashik,farmhouse stay,Teak Farms,,,4.8,
Nashik,farmhouse stay,Umang home stay & farm,,,4.7,
Nashik,farmhouse stay,"Sia Farm stay - Beat Staycation, Villa Farmhouse in Nashik | Villa in Trimbakeshwar",,,4.6,
Nashik,farmhouse stay,Holkar FarmHouse,,,4.8,
Nashik,farmhouse stay,"Nature’s Island - Elegant Luxury Villa in Nashik, Exclusive Farmhouse in Nashik",,,5.0,
Nashik,farmhouse stay,The Vintage Farm,,,4.0,
Nashik,farmhouse stay,Chaitanya Farm (Agro Tourism) - resorts and wedding place in nashik,,,4.2,
Nashik,farmhouse stay,RS Organic Farm house,,,4.7,
Nashik,farmhouse stay,Bodhi Farm Villa,,,4.9,
Nashik,farmhouse stay,Godavari farm (Pawar Farm House),,,5.0,
Nashik,farmhouse stay,Adiem kaanan Farmstay,,,4.8,
Nashik,farmhouse stay,Lakeshore,,,4.9,
Nashik,farmhouse stay,RudraFarm,,,4.2,
Nashik,farmhouse stay,Marathe's Ranwara- a boutique homestay facility in Nashik,,,4.8,
Nashik,farmhouse stay,Celestial Farmstay,,,4.8,
Nashik,farmhouse stay,JP Farms by Villatic,,,4.5,
Nashik,dentist,Parashar Multispeciality Dental Clinic,,,5.0,
Nashik,dentist,DENTAL CLINIC,,,3.0,
Nashik,dentist,Omkar Teeth Care,,,5.0,
Nashik,dentist,Dr.Umale Dental Care,,,4.9,
Nashik,dentist,Swami Multispeciality Dental Clinic,,,5.0,
Nashik,dentist,Navarkar dental clinic,,,4.8,
Nashik,dentist,Varad Dental Care Center,,,4.9,
Nashik,dentist,Nirog Dental Clinic -,,,4.8,
Nashik,dentist,ASHIRWAD DENTAL CLINIC,,,5.0,
Nashik,dentist,OrthoSquare Dental Clinic,,,4.8,
Nashik,dentist,Cosmodent Dental and Implant clinic- Best Dentist l Dental Implants Braces l E-Max Crowns,,,4.9,
Nashik,dentist,Wellness Dental Clinic,,,5.0,
Nashik,dentist,Royals Dental Clinic and Implant Center,,,4.8,
Nashik,dentist,Dr. Saniya's Family Dental Clinic |,,,5.0,
Nashik,dentist,Nutrident Dental & Diet Clinic,,,5.0,
Nashik,dentist,Dr Patani Dental-Dental clinic in nashik-Best dentist in Nashik-Root canal Treatment/Invisible Braces/Dental Implants Nashik,,,4.9,
Nashik,dentist,Dr Trupti.R.Dani Dental Clinic,,,5.0,
Nashik,dentist,Dr.Bonde's Dental Speciality Clinic,,,5.0,
Nashik,dentist,Care32 Dental & Implant Centre,,,4.9,
Nashik,dentist,Dr. Ahire's Advanced Dental Solutions,,,5.0,
Nashik,dentist,Shree Nath Dental Clinic,,,4.7,
Nashik,dentist,Dr. Soham Doshi,,,4.9,
Nashik,dentist,Sai Dental Care,,,4.9,
Nashik,dentist,Orofit Dental Experts Clinic,,,4.9,
Nashik,dentist,"Dr. Anagha | Dentist at Orthosquare | Nashik, Maharashtra",,,,
Nashik,dermatologist,Dr Shreeya's Skin 4 You Clinic - Best Dermatologist in Nashik | Best Skin Specialist in nashik,,,4.8,
Nashik,dermatologist,Rennovaa Cares,,,4.8,
Nashik,dermatologist,Dr. Jitendra Patil SKIN & HAIR CLINIC,,,4.8,
Nashik,dermatologist,Dr Roopam's Skinacea Skin & Hair Clinic,,,4.9,
Nashik,dermatologist,Derma Solutions Dr.Snehaal's | Skin Care Clinic | Skin Specialist | Best Skin Clinic| Laser Treatment,,,4.9,
Nashik,dermatologist,Dr. Sarala Patil - Best dermatologist in Nashik | Skin Specialist in nashik | Skin Doctor in Nashik | Skin Treatment,,,4.9,
Nashik,dermatologist,Dr. Snehal Daga - Best Dermatologist in Nashik | Skin Doctor | Best Skin Specialist in Nashik,,,4.8,
