Location,Category,Business Name,Phone Number,Website URL,Rating,Review Count,Validation URL,Status Code,Load Time (s)
Nashik Road,cafe,Charlies Deck | Best Cafe In Nashik,077759 55509,https://charliesdeck.com/,4.5,811.0,https://charliesdeck.com/,Connection Error,3.28
Nashik Road,cafe,Rahul's Cafe,,http://rw.epskills.in/,,,http://rw.epskills.in/,403,1.02
Nashik Road,cafe,Cafe Calido,0253 295 3777,https://sayajihotels.com/enrise-nashik/restaurant/all#caf-calido,4.1,50.0,https://sayajihotels.com/enrise-nashik/restaurant/all#caf-calido,403,1.48
Nashik Road,cafe,PAL DHABA,072193 07668,http://www.paldhabanashik.com/,4.3,209.0,http://www.paldhabanashik.com/,Connection Error,3.84
Nashik Road,cafe,Tasty Bite,0253 245 5656,https://www.tastybite.co.in/,4.3,621.0,https://www.tastybite.co.in/,403,0.97
Nashik Road,restro bar,Water Vibes bar and restaurant,096733 76555,https://watervibesrestaurant.in/,3.7,461.0,https://watervibesrestaurant.in/,Connection Error,43.41
Nashik Road,restro bar,Horizon Rooftop Restaurant,0253 295 3777,https://sayajihotels.com/enrise-nashik/restaurant/all#horizon,4.3,59.0,https://sayajihotels.com/enrise-nashik/restaurant/all#horizon,403,0.84
Nashik Road,restro bar,The Smoked Vine,0253 664 4500,https://www.radissonhotels.com/en-us/hotels/radisson-blu-spa-nashik/restaurant-bar?cid=a:se+b:gmb+c:apac+i:local+e:rdb+d:ind+h:INMHISK1,4.1,113.0,https://www.radissonhotels.com/en-us/hotels/radisson-blu-spa-nashik/restaurant-bar?cid=a:se+b:gmb+c:apac+i:local+e:rdb+d:ind+h:INMHISK1,403,1.49
Nashik Road,restro bar,Celestia Lounge - Nashik,,https://sayajihotels.com/enrise-nashik/restaurant/all#the-celestia-lounge-bar,3.8,19.0,https://sayajihotels.com/enrise-nashik/restaurant/all#the-celestia-lounge-bar,403,0.66
Nashik Road,restro bar,Solterra Bar - Gateway Nashik,0253 669 2300,https://www.gateway-hotels.com/en-in/hotels/gateway-nashik/restaurants/solterra-gateway-nashik?utm_medium=Local&utm_source=Google&utm_campaign=Solterra,4.2,9.0,https://www.gateway-hotels.com/en-in/hotels/gateway-nashik/restaurants/solterra-gateway-nashik?utm_medium=Local&utm_source=Google&utm_campaign=Solterra,403,0.93
Nashik Road,restro bar,The Second Empire,090212 06725,https://thesecondempireluxurydining.com/,4.2,1864.0,https://thesecondempireluxurydining.com/,Connection Error,3.33
Nashik Road,restro bar,Shahi Parivar Premium Thali,092842 51745,http://www.facebook.com/sshaahiparivar,3.9,55.0,http://www.facebook.com/sshaahiparivar,400,1.37
Nashik Road,fine dining restaurant,New Ruchira Family Garden Restaurant (Veg & Nonveg),082088 99134,http://newruchira.com/,4.0,310.0,http://newruchira.com/,Connection Error,3.08
Nashik Road,fine dining restaurant,Sadhana Chulivarchi Misal,080 4806 7352,http://www.sadhanamisal.com/,4.3,27225.0,http://www.sadhanamisal.com/,200,8.86
Nashik Road,fine dining restaurant,Restaurant,,https://restaurants.accor.com/,4.2,19.0,https://restaurants.accor.com/,Connection Error,83.33
Nashik Road,premium bakery,Monginis Cake Shop,098227 88550,https://cakeshops.monginis.net/monginis-cake-shop-hama-enterprises-nashik-cake-shop-nashik-road-nashik-82490/Home?utm_source=locator&utm_medium=googleplaces,4.7,246.0,https://cakeshops.monginis.net/monginis-cake-shop-hama-enterprises-nashik-cake-shop-nashik-road-nashik-82490/Home?utm_source=locator&utm_medium=googleplaces,200,9.44
Nashik Road,premium bakery,Baker's Junction,084460 22124,http://khairnarkunal.wix.com/bakerjunction,4.3,7.0,http://khairnarkunal.wix.com/bakerjunction,404,1.51
Nashik Road,premium bakery,Puffs n Rolls,094053 04211,http://www.puffsnrolls.com/,4.2,519.0,http://www.puffsnrolls.com/,200,9.84
Nashik Road,premium bakery,Baker's Craft,082086 47816,https://bakerscrafts.in/,4.1,522.0,https://bakerscrafts.in/,Connection Error,4.52
Nashik Road,premium bakery,Monginis Cake Shop,086553 42584,https://cakeshops.monginis.net/monginis-cake-shop-df-indira-nagar-nashik-cake-shop-indira-nagar-nashik-473793/Home?utm_source=locator&utm_medium=googleplaces,4.8,60.0,https://cakeshops.monginis.net/monginis-cake-shop-df-indira-nagar-nashik-cake-shop-indira-nagar-nashik-473793/Home?utm_source=locator&utm_medium=googleplaces,Timeout,10.39
Nashik Road,premium bakery,Vinis Cooking Institute,094231 19650,http://www.viniscookinginstitute.com/,4.9,898.0,http://www.viniscookinginstitute.com/,Connection Error,3.39
Nashik Road,premium bakery,Ck n Dk Bakers 24 hours Cake Shop,,http://www.instagram.com/ckdk_cake_shop_nashik//,5.0,114.0,http://www.instagram.com/ckdk_cake_shop_nashik//,404,1.66
Nashik Road,dentist,Happy Teeth Dental Clinic,098230 38606,http://www.happyteeth.co/,5.0,27.0,http://www.happyteeth.co/,Connection Error,3.47
Nashik Road,dentist,Nirmal Dental,0253 246 3626,http://ndicc.in/,5.0,37.0,http://ndicc.in/,Connection Error,3.2
Nashik Road,dentist,Dr TEETH dental clinic,077670 61747,http://dentistdrkhan.com/,5.0,51.0,http://dentistdrkhan.com/,500,2.05
Nashik Road,dentist,Atharva Dental Clinic-Dr Santosh Avhad,098000 03387,https://atharvadentalclinics.in/,3.9,8.0,https://atharvadentalclinics.in/,Connection Error,3.27
Nashik Road,dentist,Atharva Dental Clinic,,https://atharvadentalclinics.in/,,,https://atharvadentalclinics.in/,Connection Error,3.22
Nashik Road,dentist,Atharva Dental Clinic,098228 58671,https://atharvadentalclinics.in/,3.0,2.0,https://atharvadentalclinics.in/,Connection Error,3.22
Nashik Road,dentist,Care32 Dental & Implant Centre,098601 50251,https://care32dentalandimplant.com/,4.9,1016.0,https://care32dentalandimplant.com/,SSL Error,1.06
Nashik Road,dentist,Smile Shapers Orthodontic & Dental Care Centre,098227 27409,http://smileshapersnashik.com/,3.7,3.0,http://smileshapersnashik.com/,Connection Error,3.3
Nashik Road,dentist,Elegant Dental Clinic,099757 11277,https://elegantdentalnsk.com/,5.0,111.0,https://elegantdentalnsk.com/,Connection Error,3.4
Nashik Road,dentist,Denttofitt -Best RCT Specialist in Nashik |Best Aligners Treatment in Nashik |Multi Speciality & Implant Center in Nashik,090110 59543,https://www.denttofittdentalcareandimplantcentre.in/,4.9,56.0,https://www.denttofittdentalcareandimplantcentre.in/,Connection Error,3.47
Nashik Road,physiotherapist,PhysioRx | Physiotherapy Clinic | Rehabilitation | Fitness,097664 34819,https://www.facebook.com/profile.php?id=61564404860920,5.0,3.0,https://www.facebook.com/profile.php?id=61564404860920,400,0.81
Nashik Road,physiotherapist,Physio Ergo Care - Best Physiotherapy in Nashik | Back and Neck Pain Specialist | Sports Physiotherapy Doctor,098902 77759,http://www.physioergocare.com/,5.0,27.0,http://www.physioergocare.com/,404,1.6
Nashik Road,physiotherapist,NeuroPlus Physiotherapy & Rehabilitation Centre| Dr. Ankita Hase Bobade| The Best Physiotherapist in Nashik.,095521 48442,https://www.linkedin.com/in/dr-ankita-bobade-7a9a39151?utm_source=share&utm_campaign=share_via&utm_content=profile&utm_medium=ios_app,5.0,62.0,https://www.linkedin.com/in/dr-ankita-bobade-7a9a39151?utm_source=share&utm_campaign=share_via&utm_content=profile&utm_medium=ios_app,999,1.07
Nashik Road,physiotherapist,Dr. Himani Dalmia,070582 92335,https://drhimanidalmiapt.in/,4.9,18.0,https://drhimanidalmiapt.in/,Connection Error,3.29
Nashik Road,physiotherapist,Pain Relief Physiotherapy Clinic,078754 26186,https://curofy.com/doctor/dr-irfan-khan-physiotherapy-drirfankhan12,5.0,13.0,https://curofy.com/doctor/dr-irfan-khan-physiotherapy-drirfankhan12,Connection Error,3.21
Nashik Road,physiotherapist,Reactive Physio Clinic,093725 13513,http://reactivephysio.in/,5.0,43.0,http://reactivephysio.in/,Connection Error,3.24
Nashik Road,physiotherapist,Addlife Multispeciality Physiotherapy Clinic for Adult & Pediatrics (Therapy & Learning centre),070207 18677,http://drhimanidalmiapt.in/,4.8,91.0,http://drhimanidalmiapt.in/,Connection Error,3.01
Nashik Road,physiotherapist,"Janki Spine Center | Best Chiropractor in Nashik, Pune | Acupuncture, Acupressure, Cupping, Chiropractic, Naturopathy Therapy",088307 25045,https://www.facebook.com/jankispinecenternashik,4.8,833.0,https://www.facebook.com/jankispinecenternashik,400,1.03
Nashik Road,chiropractor,Dr Mustafa's physio sportsrehab centre.,099308 86933,http://drmustafasphysio.com/,4.7,33.0,http://drmustafasphysio.com/,Connection Error,43.29
Nashik Road,homeopathy clinic,Dr Kunal's Homeopathic and Acupuncture Clinic,093708 31915,http://www.homoeopuncture.com/,4.9,87.0,http://www.homoeopuncture.com/,SSL Error,2.59
Nashik Road,homeopathy clinic,Enlight Homoeopathic Clinic,097664 78223,http://www.enlightclinic.com/,4.5,6.0,http://www.enlightclinic.com/,503,0.75
Nashik Road,homeopathy clinic,Yogesh Clinic,098230 45452,http://www.nashikhomoeopathy.in/,4.9,29.0,http://www.nashikhomoeopathy.in/,Connection Error,3.12
Nashik Road,homeopathy clinic,Dr. Madhura's Homeopathy Clinic,088282 66318,https://drmadhura.clinic/,5.0,19.0,https://drmadhura.clinic/,Connection Error,3.07
Nashik Road,homeopathy clinic,Suchet Homeopathy,098905 58588,http://suchethomeo.com/,5.0,11.0,http://suchethomeo.com/,Connection Error,3.34
Nashik Road,homeopathy clinic,Dr Priya Homoeopathy Clinic,091758 13678,https://drpriyashomoeopathyclinic.com/,5.0,16.0,https://drpriyashomoeopathyclinic.com/,Connection Error,3.22
Nashik Road,veterinary clinic,Pet Health Clinic and Shop,070214 53508,http://pethealthdoctor.com/,4.4,122.0,http://pethealthdoctor.com/,Connection Error,3.44
Nashik Road,premium salon,Let's Transform Salon Nashik,077750 16611,https://www.facebook.com/letstransformnashik,4.8,102.0,https://www.facebook.com/letstransformnashik,400,0.78
Nashik Road,premium salon,Citadel of Hair-Best Unisex Salon in Nashik,,https://citadelofhair.com/,4.9,7.0,https://citadelofhair.com/,Connection Error,3.29
Nashik Road,premium salon,Rajul's Belleza,073031 31925,http://belleza.care/,4.5,253.0,http://belleza.care/,Connection Error,3.31
