Location,Category,Business Name,Phone Number,Website URL,Rating,Review Count
Nashik,cafe,Aks Coffee Essence,,,4.9,145.0
Nashik,cafe,Coffee With Canvas,087960 32962,,4.9,80.0
Nashik,cafe,The Breakfast Story Cafe & Bistro,097673 63709,,4.6,474.0
Nashik,cafe,Cafe Cluster,079722 32147,,4.8,484.0
Nashik,cafe,Cafe Bliss,084849 52735,,4.1,1195.0
Nashik,cafe,The Kachori Cafe - Nashik,,,4.8,143.0
Nashik,cafe,Coffee Junction 24hrs,,,3.9,950.0
Nashik,cafe,Cafe Nirvana,079725 94925,,4.3,359.0
Nashik,cafe,Flutterby Café (ITI Signal),093719 04242,,4.1,395.0
Nashik,cafe,"Pokket cafe, Ashoka marg, Nashik",096736 97656,,4.4,923.0
Nashik,cafe,The Leaf,097671 11027,,4.5,192.0
Nashik,cafe,Haji Darbar Restaurant,098909 78600,,4.1,1775.0
Nashik,cafe,The Mocktail Cafe,086989 36114,,4.3,262.0
Nashik,cafe,The Suburb Cafe,088883 93527,,4.1,295.0
Nashik,cafe,Cafe Panchayat,088880 08368,,4.4,678.0
Nashik,cafe,Haji Tea Point,098223 38892,,4.3,26.0
Nashik,cafe,Pokket cafe College Road,085303 68669,,4.6,630.0
Nashik,cafe,NEXT LEVEL CAFE & LOUNGE,,,4.6,60.0
Nashik,cafe,COFFEE CLUB NX,094212 90675,,4.3,917.0
Nashik,cafe,Mughal Darbar,,,4.2,5225.0
Nashik,cafe,Modern Cafe Nashik,0253 618 0814,,4.2,3624.0
Nashik,cafe,Blendz cafe,080075 44999,,4.4,70.0
Nashik,cafe,TRC The Reality Cafe,077374 51555,,4.7,292.0
Nashik,cafe,SAYANTARA,094231 75919,,4.3,5619.0
Nashik,cafe,Wakeup cafe,,,4.3,280.0
Nashik,cafe,Cafe Essence,075070 08811,,4.3,295.0
Nashik,cafe,Hot Spot Cafe,098230 40111,,4.4,61.0
Nashik,cafe,Hotel Iqbal & Lodge,0253 250 4430,,3.8,178.0
Nashik,cafe,Patel Restaurant & Chinese Corner,086002 25559,,4.3,170.0
Nashik,cafe,Udupi Tadka Sukhsagar Restaurant,089560 36928,,4.4,178.0
Nashik,cafe,Shuray Amruttulya N cafe,,,4.7,15.0
Nashik,cafe,Hangout cafe,098225 03720,,4.5,53.0
Nashik,cafe,Cafe Meet Town,091195 59669,,4.4,92.0
Nashik,cafe,The Lolo Cafe,,,4.4,151.0
Nashik,cafe,Hotel Jannat,086861 51528,,4.1,120.0
Nashik,cafe,"Chai Ketali, College Road, Nashik",098909 78676,,4.0,1388.0
Nashik,cafe,Cafe Durga,074999 70510,,4.4,103.0
Nashik,cafe,Cafe Milano,083081 80805,,4.2,373.0
Nashik,cafe,"Li'l Bit More- Café , Studio & Stays",082372 37912,,4.8,42.0
Nashik,cafe,Cafe DreamBean,,,4.9,19.0
Nashik,cafe,Cafe creme ashoka marg,088304 79331,,4.1,27.0
Nashik,cafe,Sippers Choice Chai Cafe,091756 66333,,3.8,1170.0
Nashik,cafe,The Empire Cafe and Restsurant,,,4.6,20.0
Nashik,cafe,OM TEA HOUSE,086058 03344,,4.2,650.0
Nashik,cafe,Skylight Cafe,096373 40956,,4.6,135.0
Nashik,cafe,Cafe Dew,098900 60780,,4.4,391.0
Nashik,cafe,Stamping Ground,095031 41111,,4.1,1097.0
Nashik,cafe,# Tag Cafe,,,5.0,2.0
Nashik,cafe,Nashik Coffee House,0253 231 3226,,3.9,130.0
Nashik,cafe,Cafe Sanjeevani,098607 25155,,4.6,163.0
Nashik,cafe,CAFE MANTRALAY,,,5.0,74.0
Nashik,cafe,Cafe Junction,083083 45698,,4.6,173.0
Nashik,cafe,ABHIS CAFE NASHIK,098502 64243,,4.8,20.0
Nashik,cafe,Cafe Blossom,,,4.4,94.0
Nashik,cafe,Love At Every Bite Cafe And Cakes,0253 403 2654,,4.7,485.0
Nashik,cafe,Cafe Durga,,,4.1,443.0
Nashik,cafe,Moody Cafe & Bakers,096233 98389,,4.4,5.0
Nashik,cafe,Shan E Mohammadi Restaurant(SAYYED LASSI),090285 02784,,4.3,42.0
Nashik,cafe,Cafe TTMM,080077 84803,,4.2,377.0
Nashik,cafe,SUKAI Restaurant,096077 76796,,4.3,3.0
Nashik,cafe,The Cafe Katta®,097300 22113,,4.2,393.0
Nashik,cafe,SRJ CAFE,081490 05852,,4.4,15.0
Nashik,cafe,Filmy Cafe | Nashik | 100% Bollywood Themed Experience,,,3.9,47.0
Nashik,cafe,Cafe Recess,,,4.4,19.0
Nashik,cafe,Checkers Café,077570 52722,,4.0,331.0
Nashik,cafe,Cafe spice box,,,4.7,28.0
Nashik,cafe,NIBBLES Fast Food Fine Dine Cafe,098600 71861,,4.8,172.0
Nashik,cafe,Oneness cafe,,,4.5,2.0
Nashik,cafe,New Leaf Cafe,098908 19338,,3.9,62.0
Nashik,cafe,Cafe Te Amo,083901 49585,,3.4,40.0
Nashik,cafe,Cafe Elo,,,4.2,24.0
Nashik,cafe,Amrut Cafe,088884 03313,,3.8,6.0
Nashik,cafe,ZAKI’S MultiCuisine Restaurant,,,4.7,19.0
Nashik,cafe,Koreean By Baristo,088610 11155,,3.9,149.0
Nashik,cafe,Chai Tapri,098901 96410,,3.8,933.0
Nashik,cafe,Bon Vivant,0253 231 4460,,4.1,7077.0
Nashik,cafe,Cafe tea day,,,4.3,12.0
Nashik,cafe,COFFEE N YOU ️,098906 50594,,4.7,18.0
Nashik,cafe,Cafe Bollywood,093732 80469,,3.7,160.0
Nashik,cafe,Methamba Pure Veg Family Restaurant Nashik,087882 52582,,4.7,78.0
Nashik,cafe,Rose Cafe,088057 21869,,5.0,10.0
