Location,Category,Business Name,Phone Number,Website URL,Rating,Review Count,Validation URL,Status Code,Load Time (s)
Nashik,cafe,Charlies Deck | Best Cafe In Nashik,077759 55509,https://charliesdeck.com/,4.5,811.0,https://charliesdeck.com/,Connection Error,3.25
Nashik,cafe,Four Lost Cats,0253 403 5695,http://fourlostcats.com/,4.0,317.0,http://fourlostcats.com/,Connection Error,3.55
Nashik,cafe,Cafe D Crush,085307 04141,https://www.facebook.com/D-Crush-Cafe-Resto-4141-310740532851264/,4.2,93.0,https://www.facebook.com/D-Crush-Cafe-Resto-4141-310740532851264/,400,2.42
Nashik,cafe,"Domino's Pizza | Satvik Hotel, Nashik",1800 208 1234,https://www.dominos.co.in/store-location/nasik/shop-no-5-ground-floor-hotel-satvik-private-limited,3.8,2503.0,https://www.dominos.co.in/store-location/nasik/shop-no-5-ground-floor-hotel-satvik-private-limited,404,1.58
Nashik,cafe,Cafe black spoon,088884 15588,http://www.cafeblackspoon.com/,4.5,97.0,http://www.cafeblackspoon.com/,Connection Error,3.34
Nashik,cafe,Cafe Calido,0253 295 3777,https://sayajihotels.com/enrise-nashik/restaurant/all#caf-calido,4.1,50.0,https://sayajihotels.com/enrise-nashik/restaurant/all#caf-calido,403,1.08
Nashik,cafe,Layerss Cafeteria,083088 82407,https://www.facebook.com/layersscafeteria,4.8,28.0,https://www.facebook.com/layersscafeteria,400,1.13
Nashik,cafe,Bakers & Beans Cafe,,http://www.neuroz.in/,5.0,4.0,http://www.neuroz.in/,200,10.1
Nashik,cafe,Naadbramha idli - Ashok Stambh (Nashik),096992 92753,https://www.naadbramha.com/,4.7,435.0,https://www.naadbramha.com/,Connection Error,5.42
Nashik,restro bar,Water Vibes bar and restaurant,096733 76555,https://watervibesrestaurant.in/,3.7,461.0,https://watervibesrestaurant.in/,Connection Error,43.34
Nashik,restro bar,Celestia Lounge - Nashik,,https://sayajihotels.com/enrise-nashik/restaurant/all#the-celestia-lounge-bar,3.8,19.0,https://sayajihotels.com/enrise-nashik/restaurant/all#the-celestia-lounge-bar,403,1.23
Nashik,restro bar,Red Chilly Spirits N Spices,084540 80808,https://www.facebook.com/spiritsandspicesnashik,4.2,1940.0,https://www.facebook.com/spiritsandspicesnashik,400,1.13
Nashik,restro bar,Horizon Rooftop Restaurant,0253 295 3777,https://sayajihotels.com/enrise-nashik/restaurant/all#horizon,4.3,59.0,https://sayajihotels.com/enrise-nashik/restaurant/all#horizon,403,0.71
Nashik,restro bar,The Second Empire,090212 06725,https://thesecondempireluxurydining.com/,4.2,1864.0,https://thesecondempireluxurydining.com/,Connection Error,3.37
Nashik,restro bar,The Smoked Vine,0253 664 4500,https://www.radissonhotels.com/en-us/hotels/radisson-blu-spa-nashik/restaurant-bar?cid=a:se+b:gmb+c:apac+i:local+e:rdb+d:ind+h:INMHISK1,4.1,113.0,https://www.radissonhotels.com/en-us/hotels/radisson-blu-spa-nashik/restaurant-bar?cid=a:se+b:gmb+c:apac+i:local+e:rdb+d:ind+h:INMHISK1,403,0.98
Nashik,restro bar,OriGin Nashik,093564 12002,http://gnbhospitality.in/,4.3,3417.0,http://gnbhospitality.in/,SSL Error,0.84
Nashik,restro bar,Palm Shells,079724 73769,http://www.palmshells.in/,3.9,1319.0,http://www.palmshells.in/,Connection Error,3.07
Nashik,restro bar,Solterra Bar - Gateway Nashik,0253 669 2300,https://www.gateway-hotels.com/en-in/hotels/gateway-nashik/restaurants/solterra-gateway-nashik?utm_medium=Local&utm_source=Google&utm_campaign=Solterra,4.1,8.0,https://www.gateway-hotels.com/en-in/hotels/gateway-nashik/restaurants/solterra-gateway-nashik?utm_medium=Local&utm_source=Google&utm_campaign=Solterra,403,0.97
Nashik,restro bar,Courtyard by Marriott Nashik,0253 666 6555,https://www.marriott.com/en-us/hotels/iskcn-courtyard-nashik/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,4.3,3172.0,https://www.marriott.com/en-us/hotels/iskcn-courtyard-nashik/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,403,0.87
Nashik,restro bar,Somras Bar,033 6666 0000,https://www.tajhotels.com/en-in/taj/ambad-nashik/restaurants/solterra/?utm_medium=Local&utm_source=Google&utm_campaign=somras-bar-the-gateway-hotel-ambad-nashik,2.5,2.0,https://www.tajhotels.com/en-in/taj/ambad-nashik/restaurants/solterra/?utm_medium=Local&utm_source=Google&utm_campaign=somras-bar-the-gateway-hotel-ambad-nashik,403,0.72
Nashik,restro bar,Enrise by Sayaji Nashik,0253 295 3777,https://sayajihotels.com/enrise-nashik,4.2,3018.0,https://sayajihotels.com/enrise-nashik,403,0.88
Nashik,restro bar,Vintage Asia - Courtyard By Marriott,,http://www.marriott.com/,3.5,12.0,http://www.marriott.com/,403,1.07
Nashik,fine dining restaurant,PAL DHABA,072193 07668,http://www.paldhabanashik.com/,4.3,209.0,http://www.paldhabanashik.com/,Connection Error,3.39
Nashik,fine dining restaurant,New Ruchira Family Garden Restaurant (Veg & Nonveg),082088 99134,http://newruchira.com/,4.0,310.0,http://newruchira.com/,Connection Error,3.18
Nashik,fine dining restaurant,Kainaat - Zafar Bhai's Restaurant,098905 80333,https://youtube.com/@kebabspecialrestaurant?si=1D6eG72_zXPkyetp,4.4,156.0,https://youtube.com/@kebabspecialrestaurant?si=1D6eG72_zXPkyetp,404,1.31
Nashik,fine dining restaurant,Citrine Restaurant - Gateway Nashik,0253 669 2328,https://www.gateway-hotels.com/en-in/hotels/gateway-nashik/restaurants/citrine-gateway-nashik?utm_medium=Local&utm_source=Google&utm_campaign=Citrine,3.9,66.0,https://www.gateway-hotels.com/en-in/hotels/gateway-nashik/restaurants/citrine-gateway-nashik?utm_medium=Local&utm_source=Google&utm_campaign=Citrine,403,0.51
Nashik,fine dining restaurant,Sadhana Chulivarchi Misal,080 4806 7352,http://www.sadhanamisal.com/,4.3,27233.0,http://www.sadhanamisal.com/,Timeout,11.34
Nashik,premium bakery,Baker's Craft,082086 47816,https://bakerscrafts.in/,4.1,522.0,https://bakerscrafts.in/,Connection Error,4.06
Nashik,premium bakery,Vinis Cooking Institute,094231 19650,http://www.viniscookinginstitute.com/,4.9,899.0,http://www.viniscookinginstitute.com/,Connection Error,3.23
Nashik,specialty coffee shop,Café Coffee Day,1800 102 5093,https://parijatnagar.cafecoffeeday.com/,4.1,1233.0,https://parijatnagar.cafecoffeeday.com/,SSL Error,1.15
Nashik,dentist,Dr.Bonde's Dental Speciality Clinic,087888 84522,http://www.nashikdentist.com/,5.0,1048.0,http://www.nashikdentist.com/,Connection Error,25.71
Nashik,dentist,Dr.Bonde's Dental Speciality Clinic,098812 57003,http://www.nashikdentist.com/,5.0,1013.0,http://www.nashikdentist.com/,Connection Error,4.42
Nashik,dentist,Elegant Dental Clinic,099757 11277,https://elegantdentalnsk.com/,5.0,111.0,https://elegantdentalnsk.com/,Connection Error,3.15
Nashik,dentist,Om Dental Clinic,082376 47413,http://omdentalnashik.com/,4.9,41.0,http://omdentalnashik.com/,Connection Error,5.46
Nashik,dentist,Dr. Pravin R. Bonde,0253 251 6646,http://www.nashikdentist.com/,4.6,50.0,http://www.nashikdentist.com/,Connection Error,3.69
Nashik,dentist,Glowdent Dental and Aesthetic Clinic -,093702 68662,https://glowdent.co.in/,5.0,5.0,https://glowdent.co.in/,SSL Error,0.68
Nashik,dentist,Smiley Family Dental Care - Best Dentist in Nashik | Root Canal | Implant | Orthodontist,090908 45353,https://smileyfamily.in/,4.9,60.0,https://smileyfamily.in/,Connection Error,3.07
Nashik,dentist,Dr Shalaka’s Dental Clinic,088620 04497,http://www.drshalakadentalclinic.com/,5.0,42.0,http://www.drshalakadentalclinic.com/,Connection Error,3.19
Nashik,physiotherapist,Physio Ergo Care - Best Physiotherapy in Nashik | Back and Neck Pain Specialist | Sports Physiotherapy Doctor,098902 77759,http://www.physioergocare.com/,5.0,27.0,http://www.physioergocare.com/,404,1.76
Nashik,physiotherapist,NeuroPlus Physiotherapy & Rehabilitation Centre| Dr. Ankita Hase Bobade| The Best Physiotherapist in Nashik.,095521 48442,https://www.linkedin.com/in/dr-ankita-bobade-7a9a39151?utm_source=share&utm_campaign=share_via&utm_content=profile&utm_medium=ios_app,5.0,62.0,https://www.linkedin.com/in/dr-ankita-bobade-7a9a39151?utm_source=share&utm_campaign=share_via&utm_content=profile&utm_medium=ios_app,999,1.2
Nashik,physiotherapist,Dr Mustafa's physio sportsrehab centre.,099308 86933,http://drmustafasphysio.com/,4.7,33.0,http://drmustafasphysio.com/,Connection Error,43.26
Nashik,physiotherapist,Dr. Himani Dalmia,070582 92335,https://drhimanidalmiapt.in/,4.9,18.0,https://drhimanidalmiapt.in/,Connection Error,3.28
Nashik,physiotherapist,Reactive Physio Clinic,093725 13513,http://reactivephysio.in/,5.0,43.0,http://reactivephysio.in/,Connection Error,3.29
Nashik,physiotherapist,Addlife Multispeciality Physiotherapy Clinic for Adult & Pediatrics (Therapy & Learning centre),070207 18677,http://drhimanidalmiapt.in/,4.8,91.0,http://drhimanidalmiapt.in/,Connection Error,3.07
Nashik,physiotherapist,Dr. Sanjana’s Neuro Physiotherapy Clinic,091683 04405,https://www.rehabilitationwithsanjana.in/,5.0,15.0,https://www.rehabilitationwithsanjana.in/,Connection Error,3.09
Nashik,physiotherapist,Vedika Physiotherapy Clinic,099226 66173,http://www.9922666173.com/,5.0,3.0,http://www.9922666173.com/,Connection Error,3.2
Nashik,chiropractor,"Janki Spine Center | Best Chiropractor in Nashik, Pune | Acupuncture, Acupressure, Cupping, Chiropractic, Naturopathy Therapy",088307 25045,https://www.facebook.com/jankispinecenternashik,4.8,833.0,https://www.facebook.com/jankispinecenternashik,400,0.8
Nashik,chiropractor,Medinova Super Speciality Hospital Pvt Ltd's Shatabdi Hospital,080 4275 5069,https://www.medinovahospital.org/,4.5,700.0,https://www.medinovahospital.org/,200,10.15
Nashik,homeopathy clinic,Yogesh Clinic,098230 45452,http://www.nashikhomoeopathy.in/,4.9,29.0,http://www.nashikhomoeopathy.in/,Connection Error,3.13
Nashik,homeopathy clinic,Dr Yash Shrimali - Best Homeopathy Doctor in Nashik,093255 03432,https://dryashshrimali.com/,5.0,57.0,https://dryashshrimali.com/,200,8.27
Nashik,homeopathy clinic,Enlight Homoeopathic Clinic,097664 78223,http://www.enlightclinic.com/,4.5,6.0,http://www.enlightclinic.com/,503,0.67
Nashik,homeopathy clinic,DR JITENDRA LUNKAD- M.D - CONSULTANT HOMOEOPATH (HOMEOPATHIC CLINIC) #*Best Homeopathic doctor in Nashik*,093207 46241,http://www.facebook.com/drlunkad,4.8,49.0,http://www.facebook.com/drlunkad,400,1.38
Nashik,homeopathy clinic,Dr. Sabadra Homoeopathic Clinic,0253 257 3509,http://www.drsabadrahome.com/,4.7,69.0,http://www.drsabadrahome.com/,403,1.91
Nashik,homeopathy clinic,Dr. Madhura's Homeopathy Clinic,088282 66318,https://drmadhura.clinic/,5.0,19.0,https://drmadhura.clinic/,Connection Error,3.31
Nashik,homeopathy clinic,DR.BHALKE'S HOMEOPATHY CLINIC IN NASHIK | BEST HOMEOPATHY DOCTOR IN NASHIK | BEST HOMEOPATHY TREATMENT NEAR ME IN NASHIK,,https://www.facebook.com/share/14iz2RptHn/,,,https://www.facebook.com/share/14iz2RptHn/,400,0.74
Nashik,homeopathy clinic,"Aastha Homeopathic Clinic, Center",090288 62013,http://migrainehomeopathiccure.com/,5.0,15.0,http://migrainehomeopathiccure.com/,Connection Error,3.45
Nashik,homeopathy clinic,Dr. Azra Shaikh homoeopath,,https://drazrashaikh.com/,4.9,25.0,https://drazrashaikh.com/,Connection Error,3.24
