Location,Category,Business Name,Phone Number,Website URL,Rating,Review Count
"Bytco Point, Nashik Road",specialty coffee shop,SPECIALITY COFFEE HUB,,,4.6,13.0
"Bytco Point, Nashik Road",specialty coffee shop,Cafe black spoon,099236 76609,,4.4,28.0
"Bytco Point, Nashik Road",specialty coffee shop,Cafe Sanjeevani,098607 25155,,4.6,163.0
"Bytco Point, Nashik Road",specialty coffee shop,South Indian Filter Coffee Nashik,090964 25590,,4.8,68.0
"Bytco Point, Nashik Road",specialty coffee shop,Pilgrim | Multi - Roaster Speciality Coffee House,084598 39568,https://www.instagram.com/pilgrimcoffee.in/,4.4,137.0
"Bytco Point, Nashik Road",specialty coffee shop,Aks Coffee Essence,,,4.9,145.0
"Bytco Point, Nashik Road",specialty coffee shop,Emporio Coffee Lounge (Best Coffee Shop at CCM),084828 16555,,4.8,213.0
"Bytco Point, Nashik Road",specialty coffee shop,Happiness Cafe,094566 69696,https://hc.drishtee.in/,4.8,20.0
"Bytco Point, Nashik Road",specialty coffee shop,Chai Ki Patri | Cafe,093167 57370,,4.8,82.0
"Bytco Point, Nashik Road",specialty coffee shop,Pool Side Cafe,,,3.9,16.0
"Bytco Point, Nashik Road",specialty coffee shop,Cafe Jab we met,080800 07419,,4.6,33.0
"Bytco Point, Nashik Road",specialty coffee shop,PRASHANT CYBER CAFE,098232 60690,,4.3,80.0
"Bytco Point, Nashik Road",specialty coffee shop,The Juice Farm - Nashik road,091721 56656,https://www.sahyadrifarms.com/,4.8,279.0
"Bytco Point, Nashik Road",specialty coffee shop,Adarsh Amruttulya,,,3.8,6.0
"Bytco Point, Nashik Road",specialty coffee shop,The Breakfast Story Cafe & Bistro,097673 63709,,4.6,475.0
"Bytco Point, Nashik Road",specialty coffee shop,Charlies Deck | Best Cafe In Nashik,077759 55509,https://charliesdeck.com/,4.5,811.0
"Bytco Point, Nashik Road",specialty coffee shop,Starbucks,1860 266 0010,https://stores.starbucks.in/store-pages/starbucks-nashik-1/,4.9,40.0
"Bytco Point, Nashik Road",specialty coffee shop,GrapeVine Cafe,,https://zensta.in/grapevinecafe/,,
"Bytco Point, Nashik Road",specialty coffee shop,COFFEE CLUB NX,094212 90675,,4.3,917.0
"Bytco Point, Nashik Road",specialty coffee shop,Coffee Junction 24hrs,,,3.9,950.0
"Bytco Point, Nashik Road",specialty coffee shop,Cafe City Point,,,4.5,13.0
"Bytco Point, Nashik Road",specialty coffee shop,AKBAR SODA,098505 29717,,4.1,20.0
"Bytco Point, Nashik Road",specialty coffee shop,Nashik Coffee House,0253 231 3226,,3.9,130.0
"Bytco Point, Nashik Road",specialty coffee shop,Haji Tea Point,098223 38892,,4.3,26.0
"Bytco Point, Nashik Road",specialty coffee shop,M&M Cafe,084595 07305,,5.0,6.0
"Bytco Point, Nashik Road",specialty coffee shop,OM TEA HOUSE,086058 03344,,4.2,651.0
"Bytco Point, Nashik Road",specialty coffee shop,SAYANTARA,094231 75919,,4.3,5621.0
"Bytco Point, Nashik Road",specialty coffee shop,Grape Embassy Family Restaurant,093079 54316,https://www.lavitis.in/,4.6,125.0
"Bytco Point, Nashik Road",specialty coffee shop,Luscious Layers,077220 82092,,4.2,2294.0
"Bytco Point, Nashik Road",specialty coffee shop,Hotspot cafe cidco,,,4.6,31.0
"Bytco Point, Nashik Road",specialty coffee shop,FRIENDS Bistro,092704 82424,https://friendsbistro.in/,4.2,1445.0
"Bytco Point, Nashik Road",specialty coffee shop,The Cafe Nation,093592 13638,,5.0,3.0
"Bytco Point, Nashik Road",specialty coffee shop,De' koffiEstate,086239 03227,https://dekoffiestate.com/,4.3,112.0
"Bytco Point, Nashik Road",specialty coffee shop,CupsNCakes - Shree Krishna Sweets & Bakery,094229 45550,,4.6,70.0
"Bytco Point, Nashik Road",specialty coffee shop,Hot Spot Cafe,098230 40111,,4.4,61.0
"Bytco Point, Nashik Road",specialty coffee shop,Chaha pura,084213 82122,,4.3,37.0
"Bytco Point, Nashik Road",specialty coffee shop,Cafe Bliss,084849 52735,,4.1,1197.0
"Bytco Point, Nashik Road",specialty coffee shop,Sai Jagat Pure VEG Family Restaurant Best Food in Nashik road,094227 53818,https://sites.google.com/view/sai-jagat/home,4.2,539.0
"Bytco Point, Nashik Road",specialty coffee shop,NASHIK ROAD Kirana Centre,0253 246 1465,,4.5,44.0
"Bytco Point, Nashik Road",specialty coffee shop,The Bakers Cake Shop,080076 54300,,4.8,160.0
"Bytco Point, Nashik Road",specialty coffee shop,Amul Ice Cream Parlour (Pooja Sales),0253 245 9930,https://amul.com/m/amul-scooping-parlours,4.3,590.0
"Bytco Point, Nashik Road",specialty coffee shop,Muscle Meal,095799 53981,,5.0,35.0
"Bytco Point, Nashik Road",specialty coffee shop,STAR BOYS BURGAR SANDWICH PIZZA,080105 80917,,4.7,18.0
"Bytco Point, Nashik Road",specialty coffee shop,Udupi By The Five Elements,075586 88390,https://hotelkewalnashik.com/,4.6,13.0
"Bytco Point, Nashik Road",specialty coffee shop,Momo King,086688 60590,https://momo-king.grexa.site/,4.9,40.0
"Bytco Point, Nashik Road",specialty coffee shop,BANGALORE IYYANGAR BAKERY,077700 01330,,4.1,116.0
"Bytco Point, Nashik Road",specialty coffee shop,Shree Ram Rabadiwala(Main Branch),088882 18284,,4.6,17.0
"Bytco Point, Nashik Road",specialty coffee shop,Hotel Maharashtra And Restaurant,,,4.3,52.0
"Bytco Point, Nashik Road",cafe,DREAMS CAFE,083291 41836,https://instagram.com/dreams_cafe_nashikroad?igshid=NGExMmI2YTkyZg==,4.9,39.0
"Bytco Point, Nashik Road",cafe,Leo's cafe,,,5.0,11.0
"Bytco Point, Nashik Road",cafe,Love At Every Bite Cafe And Cakes,0253 403 2654,,4.7,487.0
"Bytco Point, Nashik Road",cafe,Rahul's Cafe,,http://rw.epskills.in/,,
