Location,Category,Business Name,Phone Number,Website URL,Rating,Review Count
"Bytco Point, Nashik Road",specialty coffee shop,SPECIALITY COFFEE HUB,N/A,N/A,4.6,13
"Bytco Point, Nashik Road",specialty coffee shop,Cafe black spoon,099236 76609,N/A,4.4,28
"Bytco Point, Nashik Road",specialty coffee shop,Cafe Sanjeevani,098607 25155,N/A,4.6,163
"Bytco Point, Nashik Road",specialty coffee shop,South Indian Filter Coffee Nashik,090964 25590,N/A,4.8,68
"Bytco Point, Nashik Road",specialty coffee shop,Pilgrim | Multi - Roaster Speciality Coffee House,084598 39568,https://www.instagram.com/pilgrimcoffee.in/,4.4,137
"Bytco Point, Nashik Road",specialty coffee shop,Aks Coffee Essence,N/A,N/A,4.9,145
"Bytco Point, Nashik Road",specialty coffee shop,Emporio Coffee Lounge (Best Coffee Shop at CCM),084828 16555,N/A,4.8,213
"Bytco Point, Nashik Road",specialty coffee shop,Happiness Cafe,094566 69696,https://hc.drishtee.in/,4.8,20
"Bytco Point, Nashik Road",specialty coffee shop,Chai Ki Patri | Cafe,093167 57370,N/A,4.8,82
"Bytco Point, Nashik Road",specialty coffee shop,Pool Side Cafe,N/A,N/A,3.9,16
"Bytco Point, Nashik Road",specialty coffee shop,Cafe Jab we met,080800 07419,N/A,4.6,33
"Bytco Point, Nashik Road",specialty coffee shop,PRASHANT CYBER CAFE,098232 60690,N/A,4.3,80
"Bytco Point, Nashik Road",specialty coffee shop,The Juice Farm - Nashik road,091721 56656,https://www.sahyadrifarms.com/,4.8,279
"Bytco Point, Nashik Road",specialty coffee shop,Adarsh Amruttulya,N/A,N/A,3.8,6
"Bytco Point, Nashik Road",specialty coffee shop,The Breakfast Story Cafe & Bistro,097673 63709,N/A,4.6,475
"Bytco Point, Nashik Road",specialty coffee shop,Charlies Deck | Best Cafe In Nashik,077759 55509,https://charliesdeck.com/,4.5,811
"Bytco Point, Nashik Road",specialty coffee shop,Starbucks,1860 266 0010,https://stores.starbucks.in/store-pages/starbucks-nashik-1/,4.9,40
"Bytco Point, Nashik Road",specialty coffee shop,GrapeVine Cafe,N/A,https://zensta.in/grapevinecafe/,N/A,N/A
"Bytco Point, Nashik Road",specialty coffee shop,COFFEE CLUB NX,094212 90675,N/A,4.3,917
"Bytco Point, Nashik Road",specialty coffee shop,Coffee Junction 24hrs,N/A,N/A,3.9,950
"Bytco Point, Nashik Road",specialty coffee shop,Cafe City Point,N/A,N/A,4.5,13
"Bytco Point, Nashik Road",specialty coffee shop,AKBAR SODA,098505 29717,N/A,4.1,20
"Bytco Point, Nashik Road",specialty coffee shop,Nashik Coffee House,0253 231 3226,N/A,3.9,130
"Bytco Point, Nashik Road",specialty coffee shop,Haji Tea Point,098223 38892,N/A,4.3,26
"Bytco Point, Nashik Road",specialty coffee shop,M&M Cafe,084595 07305,N/A,5.0,6
"Bytco Point, Nashik Road",specialty coffee shop,OM TEA HOUSE,086058 03344,N/A,4.2,651
"Bytco Point, Nashik Road",specialty coffee shop,SAYANTARA,094231 75919,N/A,4.3,5621
"Bytco Point, Nashik Road",specialty coffee shop,Grape Embassy Family Restaurant,093079 54316,https://www.lavitis.in/,4.6,125
"Bytco Point, Nashik Road",specialty coffee shop,Luscious Layers,077220 82092,N/A,4.2,2294
"Bytco Point, Nashik Road",specialty coffee shop,Hotspot cafe cidco,N/A,N/A,4.6,31
"Bytco Point, Nashik Road",specialty coffee shop,FRIENDS Bistro,092704 82424,https://friendsbistro.in/,4.2,1445
"Bytco Point, Nashik Road",specialty coffee shop,ASHOK BAKERY PRODUCTS,094206 90487,N/A,4.5,279
"Bytco Point, Nashik Road",specialty coffee shop,The Cafe Nation,093592 13638,N/A,5.0,3
"Bytco Point, Nashik Road",specialty coffee shop,De' koffiEstate,086239 03227,https://dekoffiestate.com/,4.3,112
"Bytco Point, Nashik Road",specialty coffee shop,CupsNCakes - Shree Krishna Sweets & Bakery,094229 45550,N/A,4.6,70
"Bytco Point, Nashik Road",specialty coffee shop,Hot Spot Cafe,098230 40111,N/A,4.4,61
"Bytco Point, Nashik Road",specialty coffee shop,Chaha pura,084213 82122,N/A,4.3,37
"Bytco Point, Nashik Road",specialty coffee shop,Cafe Bliss,084849 52735,N/A,4.1,1197
"Bytco Point, Nashik Road",specialty coffee shop,Sai Jagat Pure VEG Family Restaurant Best Food in Nashik road,094227 53818,https://sites.google.com/view/sai-jagat/home,4.2,539
"Bytco Point, Nashik Road",specialty coffee shop,NASHIK ROAD Kirana Centre,0253 246 1465,N/A,4.5,44
"Bytco Point, Nashik Road",specialty coffee shop,The Bakers Cake Shop,080076 54300,N/A,4.8,160
"Bytco Point, Nashik Road",specialty coffee shop,Amul Ice Cream Parlour (Pooja Sales),0253 245 9930,https://amul.com/m/amul-scooping-parlours,4.3,590
"Bytco Point, Nashik Road",specialty coffee shop,Muscle Meal,095799 53981,N/A,5.0,35
"Bytco Point, Nashik Road",specialty coffee shop,STAR BOYS BURGAR SANDWICH PIZZA,080105 80917,N/A,4.7,18
"Bytco Point, Nashik Road",specialty coffee shop,Udupi By The Five Elements,075586 88390,https://hotelkewalnashik.com/,4.6,13
"Bytco Point, Nashik Road",specialty coffee shop,Momo King,086688 60590,https://momo-king.grexa.site/,4.9,40
"Bytco Point, Nashik Road",specialty coffee shop,BANGALORE IYYANGAR BAKERY,077700 01330,N/A,4.1,116
"Bytco Point, Nashik Road",specialty coffee shop,Shree Ram Rabadiwala(Main Branch),088882 18284,N/A,4.6,17
"Bytco Point, Nashik Road",specialty coffee shop,Hotel Maharashtra And Restaurant,N/A,N/A,4.3,52
"Bytco Point, Nashik Road",cafe,DREAMS CAFE,083291 41836,https://instagram.com/dreams_cafe_nashikroad?igshid=NGExMmI2YTkyZg==,4.9,39
"Bytco Point, Nashik Road",cafe,Leo's cafe,N/A,N/A,5.0,11
"Bytco Point, Nashik Road",cafe,Love At Every Bite Cafe And Cakes,0253 403 2654,N/A,4.7,487
"Bytco Point, Nashik Road",cafe,Rahul's Cafe,N/A,http://rw.epskills.in/,N/A,N/A
"Bytco Point, Nashik Road",cafe,Banjo's The Food Chain - Nashik-Road,099753 42685,http://www.banjosthefoodchain.com/,4.3,146
"Bytco Point, Nashik Road",cafe,Cafe Movd,089283 12807,N/A,4.5,21
"Bytco Point, Nashik Road",cafe,Subway Bytco Point,092173 80477,https://subway.in/,4.6,12
"Bytco Point, Nashik Road",cafe,GAMANT JAMANT CAFE,077220 03660,https://instagram.com/gammat_jammat_cafe?igshid=MmU2YjMzNjRlOQ==,4.6,21
"Bytco Point, Nashik Road",cafe,Aatmatirth Cafe,0253 245 7162,N/A,3.9,12
"Bytco Point, Nashik Road",cafe,Pokket cafe College Road,085303 68669,N/A,4.6,630
"Bytco Point, Nashik Road",cafe,Cafe Once Upon A Time,N/A,N/A,4.7,25
"Bytco Point, Nashik Road",cafe,"Pokket cafe, Ashoka marg, Nashik",096736 97656,N/A,4.4,923
"Bytco Point, Nashik Road",cafe,RAYMON CAFE,070838 14252,https://www.instagram.com/raymoncafenashik?igsh=YnBjMmw4NzBpeGlx,4.9,84
"Bytco Point, Nashik Road",cafe,NAMO'S CAFE,080072 82966,N/A,4.6,9
"Bytco Point, Nashik Road",cafe,Lucky'z Cafe,099703 49007,N/A,5.0,4
"Bytco Point, Nashik Road",cafe,Chai Tapri,097661 88377,N/A,4.1,605
"Bytco Point, Nashik Road",cafe,Meena cafe,N/A,N/A,4.7,3
"Bytco Point, Nashik Road",cafe,Skylight Cafe Nashik Road,0788 745 6262,N/A,4.0,7
"Bytco Point, Nashik Road",cafe,PIZZALO,089566 27170,https://www.mahachai.in/,4.8,14
"Bytco Point, Nashik Road",cafe,BLACKBIRD CAFE,077209 09956,N/A,4.0,3
"Bytco Point, Nashik Road",cafe,YUVRAJ CYBER CAFE,N/A,N/A,4.4,35
"Bytco Point, Nashik Road",cafe,The Five Elements Nashik Road,075591 88391,https://hotelkewalnashik.com/,4.0,266
"Bytco Point, Nashik Road",cafe,La Terraza The Cafe Bar,N/A,N/A,4.0,164
"Bytco Point, Nashik Road",cafe,ACE CYBER CAFE,098505 24314,N/A,4.6,5
"Bytco Point, Nashik Road",cafe,The chinese nook family restarant,N/A,N/A,3.2,31
"Bytco Point, Nashik Road",cafe,Stamping Ground,095031 41111,N/A,4.1,1097
"Bytco Point, Nashik Road",cafe,# Tag Cafe,N/A,N/A,5.0,2
"Bytco Point, Nashik Road",cafe,Miraki Nashik Road,N/A,N/A,4.0,3
"Bytco Point, Nashik Road",cafe,CAFE SKC BY SHREE KRISHNA CHAAT,N/A,N/A,5.0,2
"Bytco Point, Nashik Road",cafe,Nasik road,N/A,N/A,3.6,7
"Bytco Point, Nashik Road",cafe,Hotel Darshan Bar & Restaurant,0253 246 3842,N/A,3.5,239
"Bytco Point, Nashik Road",cafe,Good Karma Restaurant,0253 294 7500,N/A,4.3,244
"Bytco Point, Nashik Road",lounge,Shri Trimbakeshwar Lounge,090985 56920,N/A,3.3,3
"Bytco Point, Nashik Road",lounge,Celestia Lounge - Nashik,N/A,https://sayajihotels.com/enrise-nashik/restaurant/all#the-celestia-lounge-bar,3.8,19
"Bytco Point, Nashik Road",lounge,The Caves Family Restaurant & Bar,N/A,N/A,3.9,499
"Bytco Point, Nashik Road",lounge,K T S Family Restaurant and Bar,N/A,N/A,4.1,134
"Bytco Point, Nashik Road",lounge,BEAUTY LOUNGE,097641 66165,N/A,3.7,6
"Bytco Point, Nashik Road",lounge,The Escape Lounge,N/A,N/A,3.6,24
"Bytco Point, Nashik Road",lounge,Leafy Veg & Non-Veg Bar Restaurant,099759 24437,N/A,3.9,269
"Bytco Point, Nashik Road",lounge,Hotel SKY Family Restaurant & Bar,088888 62243,N/A,4.1,31
"Bytco Point, Nashik Road",lounge,YoYo wines,N/A,N/A,3.9,48
"Bytco Point, Nashik Road",lounge,Vaibhav Bar & Restaurant,086003 59839,N/A,3.9,25
"Bytco Point, Nashik Road",lounge,World Fitness Club,N/A,N/A,N/A,N/A
"Bytco Point, Nashik Road",lounge,"Professional Massage & Spa , for Ladies & Gents, Backpain ,Neck & Muscle pain, Muscle Stiffness",095116 19622,N/A,5.0,268
"Bytco Point, Nashik Road",lounge,Bytco Point,N/A,N/A,N/A,N/A
"Bytco Point, Nashik Road",lounge,The Foundry,083800 39444,https://www.zomato.com/nashik/the-foundry-industrial-bar-sport-satpur,4.1,861
"Bytco Point, Nashik Road",lounge,Hotel The Landmark,0253 241 0139,N/A,3.8,163
"Bytco Point, Nashik Road",lounge,SSK Bar & Restaurant,N/A,N/A,4.3,12
"Bytco Point, Nashik Road",lounge,Vishala Hotel and Bar,N/A,N/A,3.7,52
