Location,Category,Business Name,Phone Number,Website URL,Rating,Review Count
Nashik,cafe,Charlies Deck | Best Cafe In Nashik,077759 55509,https://charliesdeck.com/,4.5,811
Nashik,cafe,Aks Coffee Essence,N/A,N/A,4.9,145
Nashik,cafe,Coffee With Canvas,087960 32962,N/A,4.9,80
Nashik,cafe,The Breakfast Story Cafe & Bistro,097673 63709,N/A,4.6,474
Nashik,cafe,D’mora cafe & Bistro,N/A,https://instagram.com/dmora_cafe?igshid=YmMyMTA2M2Y=,4.4,395
Nashik,cafe,Pilgrim | Multi - Roaster Speciality Coffee House,084598 39568,https://www.instagram.com/pilgrimcoffee.in/,4.4,135
Nashik,cafe,Cafe Cluster,079722 32147,N/A,4.8,484
Nashik,cafe,FRIENDS Bistro,092704 82424,https://friendsbistro.in/,4.2,1445
Nashik,cafe,Drool Bakehouse,083808 92999,https://linktr.ee/droolbakehouse,4.7,418
Nashik,cafe,Cafe Bliss,084849 52735,N/A,4.1,1195
Nashik,cafe,Four Lost Cats,0253 403 5695,http://fourlostcats.com/,4.0,317
Nashik,cafe,The Kachori Cafe - Nashik,N/A,N/A,4.8,143
Nashik,cafe,Coffee Junction 24hrs,N/A,N/A,3.9,950
Nashik,cafe,Karmveer Amruttulya Cafe Pandit Colony Nashik,099222 58112,http://www.karmveeramruttulyaindia.com/,4.4,1125
Nashik,cafe,Lilly Cafe - First Boho Cafe In Nashik,N/A,https://lillycafeshop.in/,4.1,160
Nashik,cafe,Cafe Nirvana,079725 94925,N/A,4.3,359
Nashik,cafe,Tealogy Cafe Nashik,099935 32169,https://tealogy.in/,4.5,141
Nashik,cafe,Flutterby Café (ITI Signal),093719 04242,N/A,4.1,395
Nashik,cafe,"Pokket cafe, Ashoka marg, Nashik",096736 97656,N/A,4.4,923
Nashik,cafe,The Leaf,097671 11027,N/A,4.5,192
Nashik,cafe,Haji Darbar Restaurant,098909 78600,N/A,4.1,1775
Nashik,cafe,The Mocktail Cafe,086989 36114,N/A,4.3,262
Nashik,cafe,The Suburb Cafe,088883 93527,N/A,4.1,295
Nashik,cafe,Cafe Panchayat,088880 08368,N/A,4.4,678
Nashik,cafe,Haji Tea Point,098223 38892,N/A,4.3,26
Nashik,cafe,Pokket cafe College Road,085303 68669,N/A,4.6,630
Nashik,cafe,NEXT LEVEL CAFE & LOUNGE,N/A,N/A,4.6,60
Nashik,cafe,COFFEE CLUB NX,094212 90675,N/A,4.3,917
Nashik,cafe,Mughal Darbar,N/A,N/A,4.2,5225
Nashik,cafe,Modern Cafe Nashik,0253 618 0814,N/A,4.2,3624
Nashik,cafe,Cafe D Crush,085307 04141,https://www.facebook.com/D-Crush-Cafe-Resto-4141-310740532851264/,4.2,93
Nashik,cafe,Blendz cafe,080075 44999,N/A,4.4,70
Nashik,cafe,TRC The Reality Cafe,077374 51555,N/A,4.7,292
Nashik,cafe,SAYANTARA,094231 75919,N/A,4.3,5619
Nashik,cafe,Wakeup cafe,N/A,N/A,4.3,280
Nashik,cafe,Cafe Essence,075070 08811,N/A,4.3,295
Nashik,cafe,Hot Spot Cafe,098230 40111,N/A,4.4,61
Nashik,cafe,The Sidewalk Nashik,0253 664 4000,http://www.blvdnashik.com/,4.2,746
Nashik,cafe,Tales & Spirits Bistro,070286 76777,https://www.talesnspirits.com/order/nashik,4.3,3519
Nashik,cafe,Hotel Iqbal & Lodge,0253 250 4430,N/A,3.8,178
Nashik,cafe,Inayat Cafe,072764 20222,http://inayatcafe.com/,4.0,2110
Nashik,cafe,Patel Restaurant & Chinese Corner,086002 25559,N/A,4.3,170
Nashik,cafe,Udupi Tadka Sukhsagar Restaurant,089560 36928,N/A,4.4,178
Nashik,cafe,Shuray Amruttulya N cafe,N/A,N/A,4.7,15
Nashik,cafe,Hangout cafe,098225 03720,N/A,4.5,53
Nashik,cafe,Cafe Meet Town,091195 59669,N/A,4.4,92
Nashik,cafe,The Lolo Cafe,N/A,N/A,4.4,151
