Location,Category,Business Name,Phone Number,Website URL,Rating,Review Count,Has_Website,Has_Phone,Lead_Score
"Muktidham, Nashik Road",specialty coffee shop,Muktidham Mandir,098508 44448,,4.5,16051.0,False,True,72229.5
"Bytco Point, Nashik Road",specialty coffee shop,SAYANTARA,094231 75919,,4.3,5621.0,False,True,24170.3
"Bytco Point, Nashik Road",restro bar,River Dine Restaurant & Banquet,099232 73444,,4.1,3095.0,False,True,12689.499999999998
"Muktidham, Nashik Road",cafe,Hotel Sadhguru,075584 63118,,4.1,2512.0,False,True,10299.199999999999
"Bytco Point, Nashik Road",specialty coffee shop,Luscious Layers,077220 82092,,4.2,2294.0,False,True,9634.800000000001
"Bytco College, Nashik Road",cafe,Udupi Tadka's Hariyali Veg Restaurant & Party Hall,089560 36930,,4.2,2152.0,False,True,9038.4
"Muktidham, Nashik Road",cafe,New Rasoi Restaurant Nashik,098810 79090,,4.1,1609.0,False,True,6596.9
"Bytco College, Nashik Road",specialty coffee shop,"Chai Ketali, College Road, Nashik",098909 78676,,4.0,1390.0,False,True,5560.0
"Bytco Point, Nashik Road",specialty coffee shop,Cafe Bliss,084849 52735,,4.1,1197.0,False,True,4907.7
"Bytco Point, Nashik Road",cafe,Stamping Ground,095031 41111,,4.1,1097.0,False,True,4497.7
"Bytco Point, Nashik Road",cafe,"Pokket cafe, Ashoka marg, Nashik",096736 97656,,4.4,923.0,False,True,4061.2000000000003
"Bytco Point, Nashik Road",specialty coffee shop,COFFEE CLUB NX,094212 90675,,4.3,917.0,False,True,3943.1
"Bytco Point, Nashik Road",restro bar,GPS 99 RESTAURANT,086691 10119,,4.0,938.0,False,True,3752.0
"Bytco Point, Nashik Road",lounge,Hotel Avanti,0253 245 9616,,3.7,993.0,False,True,3674.1000000000004
"Muktidham, Nashik Road",cafe,Shalimar Restaurant,097662 37520,,3.9,819.0,False,True,3194.1
"Bytco College, Nashik Road",specialty coffee shop,Cafe Panchayat,088880 08368,,4.4,678.0,False,True,2983.2000000000003
"Bytco Point, Nashik Road",cafe,Pokket cafe College Road,085303 68669,,4.6,630.0,False,True,2898.0
"Muktidham, Nashik Road",specialty coffee shop,Om Kutchhi Dabeli,079727 97618,,4.3,671.0,False,True,2885.2999999999997
"Muktidham, Nashik Road",lounge,Kadam Mangal Karyalaya and Lawns,096731 16200,,4.0,702.0,False,True,2808.0
"Bytco Point, Nashik Road",specialty coffee shop,OM TEA HOUSE,086058 03344,,4.2,651.0,False,True,2734.2000000000003
"Bytco College, Nashik Road",nail salon,Sunrise wellness spa,070302 03099,,4.8,533.0,False,True,2558.4
"Bytco Point, Nashik Road",cafe,Chai Tapri,097661 88377,,4.1,605.0,False,True,2480.5
"Muktidham, Nashik Road",specialty coffee shop,Rajubhai Dabeliwale | Nashik Road,093722 61763,,4.4,529.0,False,True,2327.6000000000004
"Bytco Point, Nashik Road",restro bar,Hotel Mazda & Cafe - Best Cafe in Nashik| Family Restaurant in Nashik| Multicusion Restaurant in Nashik,085303 92333,,4.3,541.0,False,True,2326.2999999999997
"Bytco Point, Nashik Road",cafe,Love At Every Bite Cafe And Cakes,0253 403 2654,,4.7,487.0,False,True,2288.9
"Bytco College, Nashik Road",cafe,Madras Cafe,084840 98589,,3.7,608.0,False,True,2249.6
"Muktidham, Nashik Road",cafe,Panchali Pure Veg Family Resturant,098507 50837,,3.6,623.0,False,True,2242.8
"Muktidham, Nashik Road",lounge,Hotel Theem Plaaza Nashik,091300 34093,,3.9,572.0,False,True,2230.7999999999997
"Bytco Point, Nashik Road",specialty coffee shop,The Breakfast Story Cafe & Bistro,097673 63709,,4.6,475.0,False,True,2185.0
"Bytco Point, Nashik Road",restro bar,VAISHALI VEG & NON VEG FAMILY RESTAURANT,099755 84828,,4.1,502.0,False,True,2058.2
"Bytco Point, Nashik Road",restro bar,Sai Leela Family Restaurant & Snacks,098226 41888,,3.9,504.0,False,True,1965.6
"Muktidham, Nashik Road",specialty coffee shop,Cafe' Xpress,097638 62139,,4.4,443.0,False,True,1949.2
"Bytco Point, Nashik Road",unisex salon,Sam Unisex Salon | Nashik,086689 93861,,4.8,356.0,False,True,1708.8
"Bytco Point, Nashik Road",restro bar,HOTEL EXPRESS RESTO & BAR,095799 85559,,4.0,404.0,False,True,1616.0
"Muktidham, Nashik Road",cafe,Cafe TTMM,080077 84803,,4.2,377.0,False,True,1583.4
"Bytco Point, Nashik Road",nail salon,Show Stopper Unisex Salon,086980 34013,,4.4,354.0,False,True,1557.6000000000001
"Bytco Point, Nashik Road",restro bar,Hotel Rasoi,0253 235 1090,,3.9,366.0,False,True,1427.3999999999999
"Bytco College, Nashik Road",specialty coffee shop,TRC The Reality Cafe,077374 51555,,4.7,292.0,False,True,1372.4
"Bytco Point, Nashik Road",unisex salon,Scissor Palace,097667 33618,,4.4,309.0,False,True,1359.6000000000001
"Bytco Point, Nashik Road",lounge,"Professional Massage & Spa , for Ladies & Gents, Backpain ,Neck & Muscle pain, Muscle Stiffness",095116 19622,,5.0,268.0,False,True,1340.0
"Bytco Point, Nashik Road",unisex salon,M K FAMILY SALON (iT's YoUr TiMe To ShiNe) NASHIK HAIR STYLIST,079728 53676,,4.8,270.0,False,True,1296.0
"Bytco College, Nashik Road",crossfit,ICON FITNESS HUB UNISEX GYM,087884 91628,,4.9,258.0,False,True,1264.2
"Bytco Point, Nashik Road",specialty coffee shop,ASHOK BAKERY PRODUCTS,094206 90487,,4.5,279.0,False,True,1255.5
"Bytco Point, Nashik Road",unisex salon,Elegance Salon,081041 00135,,4.8,261.0,False,True,1252.8
"Bytco Point, Nashik Road",pilates studio,Euphoria Fitness Club,088302 07040,,4.2,297.0,False,True,1247.4
"Bytco College, Nashik Road",aesthetic clinic,Dr Rathod's Ortho Clinic In Nashik,072761 16146,,4.9,249.0,False,True,1220.1000000000001
"Bytco Point, Nashik Road",nail salon,Honey Beauty Studio & Academy,077568 05341,,4.9,241.0,False,True,1180.9
"Muktidham, Nashik Road",aesthetic clinic,Assured Care Plus Hospital,0253 246 8786,,4.8,237.0,False,True,1137.6
"Bytco Point, Nashik Road",pilates studio,Fit N Fine Gym,0253 406 4254,,4.7,232.0,False,True,1090.4
"Muktidham, Nashik Road",specialty coffee shop,KARMVEER CAFE (Amruttulya ),098237 39334,,4.8,221.0,False,True,1060.8
