Location,Category,Business Name,Phone Number,Website URL,Rating,Review Count,Has_Website,Has_Phone,Micro-Zone
"Bytco Point, Nashik Road",restro bar,River Dine Restaurant & Banquet,099232 73444,,4.1,3095.0,False,True,Bytco Point
"Muktidham, Nashik Road",cafe,Hotel Sadhguru,075584 63118,,4.1,2512.0,False,True,Muktidham
"Bytco Point, Nashik Road",specialty coffee shop,Luscious Layers,077220 82092,,4.2,2294.0,False,True,Bytco Point
"Bytco College, Nashik Road",cafe,Udupi Tadka's Hariyali Veg Restaurant & Party Hall,089560 36930,,4.2,2152.0,False,True,Bytco College
"Muktidham, Nashik Road",cafe,New Rasoi Restaurant Nashik,098810 79090,,4.1,1609.0,False,True,Muktidham
"Bytco Point, Nashik Road",specialty coffee shop,Cafe Bliss,084849 52735,,4.1,1197.0,False,True,Bytco Point
"Bytco Point, Nashik Road",lounge,Hotel Avanti,0253 245 9616,,3.7,993.0,False,True,Bytco Point
"Bytco Point, Nashik Road",restro bar,GPS 99 RESTAURANT,086691 10119,,4.0,938.0,False,True,Bytco Point
"Muktidham, Nashik Road",cafe,Shalimar Restaurant,097662 37520,,3.9,819.0,False,True,Muktidham
"Muktidham, Nashik Road",lounge,Kadam Mangal Karyalaya and Lawns,096731 16200,,4.0,702.0,False,True,Muktidham
"Bytco Point, Nashik Road",specialty coffee shop,OM TEA HOUSE,086058 03344,,4.2,651.0,False,True,Bytco Point
"Muktidham, Nashik Road",cafe,Panchali Pure Veg Family Resturant,098507 50837,,3.6,623.0,False,True,Muktidham
"Bytco College, Nashik Road",cafe,Madras Cafe,084840 98589,,3.7,608.0,False,True,Bytco College
"Bytco Point, Nashik Road",cafe,Chai Tapri,097661 88377,,4.1,605.0,False,True,Bytco Point
"Muktidham, Nashik Road",lounge,Hotel Theem Plaaza Nashik,091300 34093,,3.9,572.0,False,True,Muktidham
"Bytco Point, Nashik Road",restro bar,Sai Leela Family Restaurant & Snacks,098226 41888,,3.9,504.0,False,True,Bytco Point
"Bytco Point, Nashik Road",restro bar,VAISHALI VEG & NON VEG FAMILY RESTAURANT,099755 84828,,4.1,502.0,False,True,Bytco Point
"Bytco Point, Nashik Road",restro bar,HOTEL EXPRESS RESTO & BAR,095799 85559,,4.0,404.0,False,True,Bytco Point
"Muktidham, Nashik Road",cafe,Cafe TTMM,080077 84803,,4.2,377.0,False,True,Muktidham
"Bytco Point, Nashik Road",restro bar,Hotel Rasoi,0253 235 1090,,3.9,366.0,False,True,Bytco Point
"Bytco Point, Nashik Road",pilates studio,Euphoria Fitness Club,088302 07040,,4.2,297.0,False,True,Bytco Point
"Bytco Point, Nashik Road",lounge,Leafy Veg & Non-Veg Bar Restaurant,099759 24437,,3.9,269.0,False,True,Bytco Point
"Bytco Point, Nashik Road",cafe,Hotel Darshan Bar & Restaurant,0253 246 3842,,3.5,239.0,False,True,Bytco Point
"Muktidham, Nashik Road",specialty coffee shop,Shri Mysore Dosa Center,098227 77924,,4.2,237.0,False,True,Muktidham
"Bytco Point, Nashik Road",lounge,Hotel DARSHAN Lodging,0253 246 3784,,3.5,212.0,False,True,Bytco Point
"Muktidham, Nashik Road",lounge,Shriram Guest House,0253 297 6974,,3.1,212.0,False,True,Muktidham
"Bytco Point, Nashik Road",lounge,Hotel The Landmark,0253 241 0139,,3.8,163.0,False,True,Bytco Point
"Bytco College, Nashik Road",cafe,Shri Chintamani POLI BHAJI KENDRA & FAST FOOD,095799 66007,,3.9,149.0,False,True,Bytco College
"Bytco College, Nashik Road",cafe,Aple Sarkar Seva Kendra and OMKAR CYBER CAFE,086006 90890,,3.7,146.0,False,True,Bytco College
"Bytco Point, Nashik Road",restro bar,Hotel Maharastra Darbar,070301 27000,,3.8,140.0,False,True,Bytco Point
"Bytco Point, Nashik Road",specialty coffee shop,Nashik Coffee House,0253 231 3226,,3.9,130.0,False,True,Bytco Point
"Bytco Point, Nashik Road",specialty coffee shop,BANGALORE IYYANGAR BAKERY,077700 01330,,4.1,116.0,False,True,Bytco Point
"Bytco Point, Nashik Road",lounge,Punjabi Tadka Parcel Point,070200 67529,,3.8,112.0,False,True,Bytco Point
"Bytco Point, Nashik Road",restro bar,THE LIQUOR HOUSE RESTAURANT AND BAR,084689 63618,,4.2,93.0,False,True,Bytco Point
"Bytco Point, Nashik Road",restro bar,Hotel Vaibhav Bar And Restaurant,097679 83338,,3.7,89.0,False,True,Bytco Point
"Bytco Point, Nashik Road",restro bar,HOTEL STAR RESTAURANT & BAR,097654 87785,,3.7,82.0,False,True,Bytco Point
"Bytco Point, Nashik Road",restro bar,Hotel Rangat,098222 81793,,3.8,81.0,False,True,Bytco Point
"Muktidham, Nashik Road",cafe,Madhuram Cafe,070203 60933,,4.2,74.0,False,True,Muktidham
"Bytco Point, Nashik Road",aesthetic clinic,Dr.Vartak (Dermatologists),0253 246 6268,,3.2,67.0,False,True,Bytco Point
"Bytco Point, Nashik Road",lounge,Quarter Pillar Bar and Restaurant,098929 80404,,4.2,55.0,False,True,Bytco Point
"Muktidham, Nashik Road",specialty coffee shop,Alaknanda Bakery,093560 32224,,4.2,53.0,False,True,Muktidham
