Location,Category,Business Name,Phone Number,Website URL,Rating,Review Count
"Bytco College, Nashik Road",aesthetic clinic,Dr Rathod's Ortho Clinic In Nashik,072761 16146,,4.9,249.0
"Muktidham, Nashik Road",aesthetic clinic,Assured Care Plus Hospital,0253 246 8786,,4.8,237.0
"Bytco Point, Nashik Road",aesthetic clinic,Dr. Wable Maternity Hospital,0253 246 7125,,5.0,155.0
"Bytco Point, Nashik Road",aesthetic clinic,SkinoVedics Skin and Hair Clinic,076666 82764,,4.9,99.0
"Bytco Point, Nashik Road",aesthetic clinic,Being Young Clinic - Skin | Aesthetics | Hair | Laser,091300 99330,,4.7,81.0
"Bytco Point, Nashik Road",aesthetic clinic,Dr.Ashutosh Shirsath,0253 246 0517,,5.0,79.0
"Bytco Point, Nashik Road",aesthetic clinic,Dr.Vartak (Dermatologists),0253 246 6268,,3.2,67.0
"Muktidham, Nashik Road",aesthetic clinic,Tulip Dental Care & Kidney Care : Dr. Vipul Gattani | Dr. Shruti Gattani,099782 57085,,4.8,57.0
"Bytco College, Nashik Road",aesthetic clinic,Dr Rakhees cosmetic Homoeopathic clinic & Dahale Homoeopathic Clinic,,,5.0,50.0
"Muktidham, Nashik Road",aesthetic clinic,Yashali Hospital Nashik Dr Shirish Ghan ENT,0253 246 8647,,4.7,45.0
"Muktidham, Nashik Road",cafe,Hotel Sadhguru,075584 63118,,4.1,2512.0
"Bytco College, Nashik Road",cafe,Udupi Tadka's Hariyali Veg Restaurant & Party Hall,089560 36930,,4.2,2152.0
"Muktidham, Nashik Road",cafe,New Rasoi Restaurant Nashik,098810 79090,,4.1,1609.0
"Bytco Point, Nashik Road",cafe,Stamping Ground,095031 41111,,4.1,1097.0
"Bytco Point, Nashik Road",cafe,"Pokket cafe, Ashoka marg, Nashik",096736 97656,,4.4,923.0
"Muktidham, Nashik Road",cafe,Shalimar Restaurant,097662 37520,,3.9,819.0
"Bytco Point, Nashik Road",cafe,Pokket cafe College Road,085303 68669,,4.6,630.0
"Muktidham, Nashik Road",cafe,Panchali Pure Veg Family Resturant,098507 50837,,3.6,623.0
"Bytco College, Nashik Road",cafe,Madras Cafe,084840 98589,,3.7,608.0
"Bytco Point, Nashik Road",cafe,Chai Tapri,097661 88377,,4.1,605.0
"Bytco Point, Nashik Road",coworking space,Deck Spaces Co-Working.,092721 86816,,4.8,79.0
"Bytco Point, Nashik Road",coworking space,Impact Spaces - Coworking Space in Nashik,099213 67880,,4.9,74.0
"Bytco Point, Nashik Road",coworking space,"UNIVATE - Coworking Space, Events & Conference Room",077748 88163,,4.9,25.0
"Bytco Point, Nashik Road",coworking space,Infinity Desks,070202 75785,,4.7,14.0
"Bytco College, Nashik Road",crossfit,ICON FITNESS HUB UNISEX GYM,087884 91628,,4.9,258.0
"Bytco Point, Nashik Road",crossfit,Power house Gym,098604 23837,,4.8,186.0
"Bytco Point, Nashik Road",crossfit,HiTensity crossfit and fitness hub,072630 68659,,4.9,175.0
"Bytco Point, Nashik Road",crossfit,Reflexion Gym and Fitness Center,077700 77664,,4.6,172.0
"Bytco Point, Nashik Road",crossfit,THE O.B FITNESS HUB,073855 79952,,4.9,169.0
"Bytco College, Nashik Road",crossfit,M45 The Fitness Studio - Best gym in Nashik road,091375 05478,,5.0,159.0
