Location,Category,Business Name,Phone Number,Website URL,Rating,Review Count,Reviews,Has_Website,Has_Phone
Nashik Road,martial arts academy,Martial art class,083296 15660,,5.0,3.0,3,False,True
Nashik Road,cafe,The Cafe Nation,093592 13638,,5.0,3.0,3,False,True
Nashik Road,martial arts academy,KARATE ACADEMY,088308 57754,,5.0,3.0,3,False,True
Nashik Road,cafe,M&M Cafe,084595 07305,,5.0,6.0,6,False,True
Nashik Road,cafe,De' Hot Kettle,086008 65569,,5.0,24.0,24,False,True
Nashik Road,martial arts academy,S S KARATE CLUB,086684 43856,,5.0,5.0,5,False,True
Nashik Road,martial arts academy,Gladiator Sports Foundation And Gladiators taekwondo academy,088060 87983,,5.0,23.0,23,False,True
Nashik Road,cafe,Yaahoo Icecream & Snacks,080556 84411,,5.0,9.0,9,False,True
Nashik Road,fine dining restaurant,BEST MUTTON AND CHICKEN SHOP,096574 85654,,5.0,1.0,1,False,True
Nashik Road,yoga studio,Disha art and yoga classes,075073 32223,,5.0,11.0,11,False,True
Nashik Road,crossfit box,The Muscle Studio,089992 97814,,5.0,7.0,7,False,True
Nashik Road,crossfit box,Gymmers Club,098501 78067,,5.0,6.0,6,False,True
Nashik Road,crossfit box,Raj Fitness Gym,094154 77757,,5.0,1.0,1,False,True
Nashik Road,crossfit box,Revolution Running Core and Strength Studio,098904 89193,,5.0,12.0,12,False,True
Nashik Road,crossfit box,Fitness Trainer | Personal Trainer | Vishal,082088 63691,,5.0,17.0,17,False,True
Nashik Road,crossfit box,OM'S FITNESS,094223 22722,,5.0,3.0,3,False,True
Nashik Road,crossfit box,Fightkraft Combat Fitness Academy 👊🏻 Pro Boxing • Kickboxing • Muay Thai • MMA,083808 11911,,5.0,2.0,2,False,True
Nashik Road,crossfit box,"Icon Fitness 2.0,Unisex gym",087884 91628,,5.0,8.0,8,False,True
Nashik Road,crossfit box,Iron Strong Fitness,079721 84752,,5.0,3.0,3,False,True
Nashik Road,crossfit box,Ladies gym YT Fitness gym,090110 89558,,5.0,22.0,22,False,True
Nashik Road,dentist,Dr. Samir Dental Clinic,098906 34618,,5.0,1.0,1,False,True
Nashik Road,dentist,Sushil Dental Care,082085 59651,,5.0,15.0,15,False,True
Nashik Road,dentist,GREAT SMILES DENTAL CLINIC,094200 95303,,5.0,1.0,1,False,True
Nashik Road,dentist,Dr Shreya's The Sweet Tooth Dental Clinic,096899 76574,,5.0,31.0,31,False,True
Nashik Road,dentist,Root Care,073490 52235,,5.0,11.0,11,False,True
Nashik Road,specialty coffee shop,Muscle Meal,095799 53981,,5.0,35.0,35,False,True
Nashik Road,specialty coffee shop,NASHIK BAKERS-FAMOUS BEKARY,092471 71717,,5.0,7.0,7,False,True
Nashik Road,specialty coffee shop,Icchamani Amruttulya,086006 64672,,5.0,2.0,2,False,True
Nashik Road,specialty coffee shop,Cocoa N' crème,086050 62590,,5.0,17.0,17,False,True
Nashik Road,dentist,Parkhe's Dental Clinic,096733 37633,,5.0,3.0,3,False,True
Nashik Road,dentist,Swami Multispeciality Dental Clinic,090494 92122,,5.0,23.0,23,False,True
Nashik Road,dentist,dr.marathes dental clinic,0253 243 8999,,5.0,3.0,3,False,True
Nashik Road,dentist,Gurudev Dental Clinic,0253 241 0074,,5.0,15.0,15,False,True
Nashik Road,dentist,"Grace Dental Clinic ( Teeth, Skin & Hair)",093560 72029,,5.0,4.0,4,False,True
