Location,Category,Business Name,Phone Number,Website URL,Rating,Review Count,Reviews,Has_Website,Has_Phone
Nashik Road,homeopathy clinic,Dr. Musale's Healing Pearls Homoeopathic Clinic,0253 247 1322,,4.9,520.0,520,False,True
Nashik Road,designer boutique,Ki n Ka Rental Studio,086683 61571,,4.9,468.0,468,False,True
Nashik Road,bridal makeup studio,KAYAKALP Makeup Studio Salon Academy,091585 24447,,4.7,400.0,400,False,True
Nashik Road,homeopathy clinic,"Dr. Anup Gawande's Shri Homeopathic Clinic In Nashik, Maharashtra, India",099758 89317,,5.0,399.0,399,False,True
Nashik Road,dentist,GURU Dental Clinic,099220 08188,,4.9,371.0,371,False,True
Nashik Road,homeopathy clinic,Advait Homoeopathic Clinic,094239 70399,,5.0,306.0,306,False,True
Nashik Road,homeopathy clinic,Spandan Homoeopathic Clinic,098227 60064,,4.9,301.0,301,False,True
Nashik Road,homeopathy clinic,Samartha Homeopathic Clinic,097629 99888,,5.0,271.0,271,False,True
Nashik Road,physiotherapist,"Professional Massage & Spa , for Ladies & Gents, Backpain ,Neck & Muscle pain, Muscle Stiffness",095116 19622,,5.0,267.0,267,False,True
Nashik Road,premium salon,B3 Salon and Spa,083297 46157,,4.8,251.0,251,False,True
Nashik Road,tattoo studio,V. N. Tattoo and Art Studio,093727 63388,,5.0,248.0,248,False,True
Nashik Road,bridal makeup studio,Honey Beauty Studio & Academy,077568 05341,,4.9,240.0,240,False,True
Nashik Road,physiotherapist,Harmony Physiotherapy Clinic | Dr. Tanmay Sathe | Dr. Aboli Deshmukh Sathe | Top | The Best Physiotherapy Clinic | Nashik,096652 55077,,4.9,234.0,234,False,True
Nashik Road,custom jewelry designer,Sagar Adgaonkar and Sons | Jewellery Shop in Nashik | Premium Gold Silver and Diamond,077095 26666,,4.8,233.0,233,False,True
Nashik Road,custom jewelry designer,Mohiniz Fashion Bucket | Fashion House in Nashik | Ladies' Clothes Shop in Nashik | Best Ladies boutique in Nashik |,086980 14997,,4.9,228.0,228,False,True
Nashik Road,premium salon,Imperial Bridal Studio | Nail Art | Bridal Makeup | Mehendi,070406 20617,,5.0,208.0,208,False,True
Nashik Road,veterinary clinic,Dr.Patil's Pet Shoppy & Dog Clinic,098810 08070,,4.0,185.0,185,False,True
Nashik Road,premium salon,Be Yourself A premium Unisex Salon,091301 07370,,5.0,178.0,178,False,True
Nashik Road,crossfit box,Kairos Gym Fitness Studio,088888 81817,,4.8,175.0,175,False,True
Nashik Road,premium salon,New SBN Hair Studio,095277 22550,,5.0,174.0,174,False,True
Nashik Road,physiotherapist,Physioflex - Physiotherapy Clinic And Fitness Studio,090217 56646,,4.9,160.0,160,False,True
Nashik Road,crossfit box,M45 The Fitness Studio - Best gym in Nashik road,091375 05478,,5.0,159.0,159,False,True
Nashik Road,physiotherapist,Dr Gunjal's Shatayu Physiotherapy Clinic l Panchavati Branch,099230 26836,,4.9,155.0,155,False,True
Nashik Road,dentist,Kalakiran Dental Clinic,095527 98826,,4.9,155.0,155,False,True
Nashik Road,bridal makeup studio,"Mrs.Lalita Patole SL’s Aesthetic Skin, Laser & Hair Beauty Clinic",083082 69923,,4.9,151.0,151,False,True
Nashik Road,physiotherapist,Dr. Kulkarni's Physiotherapy Clinic,075883 04683,,5.0,144.0,144,False,True
Nashik Road,bridal makeup studio,Rakhees Golden Brush Makeup & Beauty Studio,094033 38235,,5.0,142.0,142,False,True
Nashik Road,premium salon,Shalu's Beauty Studio,094214 10759,,4.5,141.0,141,False,True
