Location,Category,Business Name,Phone Number,Website URL,Rating,Review Count,Reviews,Has_Website,Has_Phone
Nashik Road,fine dining restaurant,"Curry Leaves Pure Veg , Jehan Circle",077220 15994,,4.3,10444.0,10444,False,True
Nashik Road,fine dining restaurant,Veg Aroma,083800 32373,,4.0,7158.0,7158,False,True
Nashik Road,fine dining restaurant,Bon Vivant,0253 231 4460,,4.1,7077.0,7077,False,True
Nashik Road,restro bar,Kaka Ka Dhaba,090112 38000,,3.9,5526.0,5526,False,True
Nashik Road,restro bar,Yahoo Hotel Restaurant & Bar Nashik,0253 257 1748,,4.1,4383.0,4383,False,True
Nashik Road,fine dining restaurant,"Curry Leaves, Indira Nagar - Hotel, Restaurant, Banquet, Rooms",094231 89995,,4.4,3736.0,3736,False,True
Nashik Road,cafe,Modern Cafe Nashik,0253 618 0814,,4.2,3624.0,3624,False,True
Nashik Road,fine dining restaurant,Barbeque Ville,083800 45222,,4.1,3446.0,3446,False,True
Nashik Road,restro bar,River Dine Restaurant & Banquet,099232 73444,,4.1,3100.0,3100,False,True
Nashik Road,cafe,Shree Purohit Thali®,0253 246 3407,,4.2,2923.0,2923,False,True
Nashik Road,fine dining restaurant,The Cobble Street (TCS),083809 98099,,4.2,2772.0,2772,False,True
Nashik Road,restro bar,Hotel Sadhguru,075584 63118,,4.1,2510.0,2510,False,True
Nashik Road,fine dining restaurant,Spice Route,099229 92231,,4.0,2377.0,2377,False,True
Nashik Road,cafe,Hotel Durga © | हॉटेल दुर्गा © | Fast Food Pure Veg Restaurant | Best Cafe in Nashik,096652 08277,,4.5,2346.0,2346,False,True
Nashik Road,fine dining restaurant,Udupi Tadka High Gardens Pure Veg restaurant,089560 36925,,4.4,2302.0,2302,False,True
Nashik Road,premium bakery,Luscious Layers,077220 82092,,4.2,2294.0,2294,False,True
Nashik Road,fine dining restaurant,Annapoorna hotel,099603 60855,,4.0,2281.0,2281,False,True
Nashik Road,fine dining restaurant,Udupi Tadka's Hariyali Veg Restaurant & Party Hall,089560 36930,,4.2,2147.0,2147,False,True
Nashik Road,restro bar,Shack Multi-Cuisine,088888 88853,,4.1,1943.0,1943,False,True
Nashik Road,cafe,Sandy's Recipe,098600 00011,,3.8,1802.0,1802,False,True
Nashik Road,fine dining restaurant,Haji Darbar Restaurant,098909 78600,,4.1,1775.0,1775,False,True
Nashik Road,fine dining restaurant,Baracco Alfresco. Bar. Banquets | Multi Cuisine Restaurant,077700 08011,,4.3,1617.0,1617,False,True
Nashik Road,cafe,New Rasoi Restaurant Nashik,098810 79090,,4.1,1609.0,1609,False,True
Nashik Road,premium bike modification,AJIT MOTORS HELMET SHOWROOM (Since 1958),087937 21007,,4.8,1568.0,1568,False,True
Nashik Road,premium salon,Sarathe'S International hair and beauty family Salon,090491 26395,,4.7,1468.0,1468,False,True
Nashik Road,custom jewelry designer,Tejaswi Jewellers Jawaharlal Motilal saraf,077670 22000,,4.6,1400.0,1400,False,True
Nashik Road,cafe,"Chai Ketali, College Road, Nashik",098909 78676,,4.0,1388.0,1388,False,True
Nashik Road,premium salon,Mirror Salon & Academy,093095 19704,,4.8,1363.0,1363,False,True
Nashik Road,fine dining restaurant,Dil Se Desi - Nashik,099232 06360,,4.1,1312.0,1312,False,True
Nashik Road,cafe,Cafe Bliss,084849 52735,,4.1,1196.0,1196,False,True
Nashik Road,custom jewelry designer,Bhandari Jewellery Galaxy Pvt Ltd,0253 664 0000,,4.7,1184.0,1184,False,True
Nashik Road,specialty coffee shop,Sippers Choice Chai Cafe,091756 66333,,3.8,1170.0,1170,False,True
Nashik Road,specialty coffee shop,Stamping Ground,095031 41111,,4.1,1097.0,1097,False,True
Nashik Road,fine dining restaurant,Jai Jagannath Restaurant,092704 69069,,3.9,993.0,993,False,True
Nashik Road,restro bar,Patang restaurant and bar,077220 30040,,4.1,947.0,947,False,True
Nashik Road,restro bar,GPS 99 RESTAURANT,086691 10119,,4.0,937.0,937,False,True
Nashik Road,cafe,"Pokket cafe, Ashoka marg, Nashik",096736 97656,,4.4,923.0,923,False,True
Nashik Road,premium bakery,Fresh-Up Bakery,096897 55531,,4.4,918.0,918,False,True
Nashik Road,cafe,COFFEE CLUB NX,094212 90675,,4.3,917.0,917,False,True
Nashik Road,fine dining restaurant,Hotel Rama Krishna,094222 64142,,4.5,900.0,900,False,True
Nashik Road,restro bar,Flying Monk,095617 05405,,4.0,843.0,843,False,True
Nashik Road,premium bike modification,Sachi Honda,098816 98884,,4.7,828.0,828,False,True
Nashik Road,fine dining restaurant,Shalimar Restaurant,097662 37520,,3.9,819.0,819,False,True
Nashik Road,specialty coffee shop,Chai tapri Best cafe in Nasik,084848 29129,,3.9,779.0,779,False,True
Nashik Road,premium bakery,Bms Super Market,086055 06738,,3.9,764.0,764,False,True
Nashik Road,chiropractor,Marmaveda Chiropractic (charak) Nashik,088300 55857,,4.8,744.0,744,False,True
Nashik Road,fine dining restaurant,Nandan Thali Restaurant,070306 46488,,4.2,711.0,711,False,True
Nashik Road,premium bakery,RT Bakers & Confectionery,098603 65300,,4.3,706.0,706,False,True
Nashik Road,fine dining restaurant,Swadishta (Swad )Veg Restaurant,0253 241 8868,,3.6,682.0,682,False,True
Nashik Road,specialty coffee shop,Cafe Panchayat,088880 08368,,4.4,678.0,678,False,True
Nashik Road,dentist,Dr Aher's Dental Care,099235 39253,,5.0,676.0,676,False,True
Nashik Road,designer boutique,Bhandari Jewels,070384 74567,,4.8,672.0,672,False,True
Nashik Road,cafe,CHAI KETALI (Ashoka Marg),098909 78676,,4.0,670.0,670,False,True
Nashik Road,specialty coffee shop,Pokket cafe College Road,085303 68669,,4.6,630.0,630,False,True
Nashik Road,fine dining restaurant,Panchali Pure Veg Family Resturant,098507 50837,,3.6,623.0,623,False,True
