Category,Business Name,Rating,Reviews,Phone Number,Lead_Score
fine dining restaurant,"Curry Leaves Pure Veg , Jehan Circle",4.3,10444,077220 15994,44909.2
fine dining restaurant,Bon Vivant,4.1,7077,0253 231 4460,29015.699999999997
fine dining restaurant,Veg Aroma,4.0,7158,083800 32373,28632.0
restro bar,Kaka Ka Dhaba,3.9,5526,090112 38000,21551.399999999998
restro bar,Yahoo Hotel Restaurant & Bar Nashik,4.1,4383,0253 257 1748,17970.3
fine dining restaurant,"Curry Leaves, Indira Nagar - Hotel, Restaurant, Banquet, Rooms",4.4,3736,094231 89995,16438.4
cafe,Modern Cafe Nashik,4.2,3624,0253 618 0814,15220.800000000001
fine dining restaurant,Barbeque Ville,4.1,3446,083800 45222,14128.599999999999
restro bar,River Dine Restaurant & Banquet,4.1,3100,099232 73444,12709.999999999998
cafe,Shree Purohit Thali®,4.2,2923,0253 246 3407,12276.6
fine dining restaurant,The Cobble Street (TCS),4.2,2772,083809 98099,11642.4
cafe,Hotel Durga © | हॉटेल दुर्गा © | Fast Food Pure Veg Restaurant | Best Cafe in Nashik,4.5,2346,096652 08277,10557.0
restro bar,Hotel Sadhguru,4.1,2510,075584 63118,10291.0
fine dining restaurant,Udupi Tadka High Gardens Pure Veg restaurant,4.4,2302,089560 36925,10128.800000000001
premium bakery,Luscious Layers,4.2,2294,077220 82092,9634.800000000001
fine dining restaurant,Spice Route,4.0,2377,099229 92231,9508.0
fine dining restaurant,Annapoorna hotel,4.0,2281,099603 60855,9124.0
fine dining restaurant,Udupi Tadka's Hariyali Veg Restaurant & Party Hall,4.2,2147,089560 36930,9017.4
restro bar,Shack Multi-Cuisine,4.1,1943,088888 88853,7966.299999999999
premium bike modification,AJIT MOTORS HELMET SHOWROOM (Since 1958),4.8,1568,087937 21007,7526.4
fine dining restaurant,Haji Darbar Restaurant,4.1,1775,098909 78600,7277.499999999999
fine dining restaurant,Baracco Alfresco. Bar. Banquets | Multi Cuisine Restaurant,4.3,1617,077700 08011,6953.099999999999
premium salon,Sarathe'S International hair and beauty family Salon,4.7,1468,090491 26395,6899.6
cafe,Sandy's Recipe,3.8,1802,098600 00011,6847.599999999999
cafe,New Rasoi Restaurant Nashik,4.1,1609,098810 79090,6596.9
