Business Name,Category,Rating,Review Count,Estimated_Annual_Revenue_INR,Website URL
Reliance Digital,used car dealer,4.9,6617.0,8932950000,https://www.reliancedigitalstores.in/reliance-digital-star-zone-nashik-electronics-retail-and-repair-shop-bitko-point-nashik-208547/Home?utm_source=locator&utm_medium=googleplaces
WASAN TOYOTA Nashik Showroom and Service Facility,used car dealer,4.8,6598.0,8907300000,https://www.wasantoyota.com/
Ujjwal Hyundai Nashik,used car dealer,4.6,5578.0,7530300000,https://ujjwal.hyundaimotor.in/
Khushi Honda Nashik,used car dealer,4.5,4416.0,5961600000,https://khushihonda.com/
Bridgestone Select - Ashoka Tyres,used car dealer,4.9,3936.0,5313600000,https://tyreshop.bridgestone.co.in/bridgestone/stores-in-nashik/stores-in-shivaji-nagar/bridgestone-select-ashoka-tyres-in-shivaji-nagar-nashik--5431a38a-e22f-4464-b90d-5511cf1654c0/home
Renault Nashik,used car dealer,4.8,3310.0,4468500000,https://www.renault.co.in/
"Livspace - Interior Design Studio, Sharanpur",interior designer,4.7,3681.0,2944800000,https://www.livspace.com/in/interiors/nashik/sharanpur?utm_medium=GMB&utm_source=wb_sharanpur
"Tata Motors Cars Showroom - Max Motors, Ambad",used car dealer,4.4,2037.0,2749950000,https://dealer-locator.cars.tatamotors.com/tata-motors-cars-showroom-max-motors-ambad-car-dealer-ambad-nashik-118324/Home
TVS - Gandhi Motors,used car dealer,4.2,1834.0,2475900000,https://dealers.tvsmotor.com/tvs-motors/tvs-gandhi-motors-two-wheeler-dealer-upnagar-nashik-133989/Home?utm_source=locator&utm_medium=googleplaces
HomeTown,modular furniture studio,4.9,4558.0,2051100000,https://www.hometown.in/?utm_source=Google&utm_medium=Local&utm_campaign=nashik-lawate-nagar-untwadi
Bhavin Wheels Pvt. Ltd. - MAHINDRA,used car dealer,4.5,1023.0,1381050000,http://www.bhavinwheel.com/
"Maruti Suzuki TRUE VALUE (Automotive Manufacturers, Nashik, MIDC)",used car dealer,4.8,932.0,1258200000,https://www.truevalueofmidc.com/?utm_source=gmb&utm_medium=google&utm_campaign=seo-local
