=========================================================================================
                           NASHIK MARKET OPPORTUNITY ANALYTICS
=========================================================================================

Rank  | Category               | Total  | Avg Rev  | Med Rev  | Missing Web  | % Missing  | Score / 10
-------------------------------------------------------------------------------------------------------------------
1     | fine dining restaura   | 79     | 1696.0   | 405.0    | 49           | 62.0%      | 8.92
2     | restro bar             | 108    | 852.7    | 185.0    | 76           | 70.4%      | 7.59
3     | chiropractor           | 37     | 892.3    | 12.5     | 25           | 67.6%      | 7.46
4     | cafe                   | 107    | 618.9    | 163.0    | 81           | 75.7%      | 7.46
5     | specialty coffee sho   | 40     | 197.0    | 54.5     | 28           | 70.0%      | 6.01
6     | premium bakery         | 108    | 244.0    | 102.0    | 71           | 65.7%      | 5.79
7     | physiotherapist        | 116    | 59.1     | 30.0     | 74           | 63.8%      | 5.20
8     | homeopathy clinic      | 97     | 96.2     | 32.0     | 60           | 61.9%      | 5.13
9     | dentist                | 117    | 141.8    | 76.5     | 62           | 53.0%      | 4.53
